Target2,PSEKNC1,PSEKNC2,PSEKNC3,PSEKNC4,PSEKNC5,PSEKNC6,PSEKNC7,PSEKNC8,PSEKNC9,PSEKNC10,PSEKNC11,PSEKNC12,PSEKNC13,PSEKNC14,PSEKNC15,PSEKNC16,PSEKNC17,PSEKNC18,PSEKNC19,PSEKNC20,PSEKNC21,PSEKNC22,PSEKNC23,PSEKNC24,PSEKNC25,PSEKNC26,PSEKNC27,PSEKNC28,PSEKNC29,PSEKNC30,PSEKNC31,PSEKNC32,PSEKNC33,PSEKNC34,PSEKNC35,PSEKNC36,PSEKNC37,PSEKNC38,PSEKNC39,PSEKNC40,PSEKNC41,PSEKNC42,PSEKNC43,PSEKNC44,PSEKNC45,PSEKNC46,PSEKNC47,PSEKNC48,PSEKNC49,PSEKNC50,PSEKNC51,PSEKNC52,PSEKNC53,PSEKNC54,PSEKNC55,PSEKNC56,PSEKNC57,PSEKNC58,PSEKNC59,PSEKNC60,PSEKNC61,PSEKNC62,PSEKNC63,PSEKNC64,PSEKNC65,PSEKNC66
0,0,0.014179049,0.014179049,0.014179049,0,0,0.028358098,0,0.014179049,0.014179049,0.014179049,0.014179049,0.014179049,0.014179049,0,0,0,0,0.042537147,0,0.014179049,0.028358098,0.014179049,0,0.014179049,0.028358098,0.028358098,0,0.014179049,0,0,0,0.028358098,0,0,0.014179049,0.014179049,0.014179049,0.028358098,0,0.014179049,0.028358098,0,0,0,0.014179049,0,0,0.014179049,0.014179049,0,0,0.014179049,0.014179049,0,0,0,0,0,0,0,0,0,0,0.250240409,0.196776687
0,0,0.023572257,0,0,0.023572257,0.035358386,0.047144515,0,0,0,0.011786129,0,0,0,0,0,0,0.035358386,0.011786129,0,0.011786129,0.011786129,0.023572257,0,0.035358386,0,0.035358386,0,0,0,0,0,0.023572257,0.047144515,0,0,0.011786129,0,0,0,0.035358386,0.011786129,0.023572257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.247554354,0.292786627
0,0.013142889,0,0.013142889,0.013142889,0,0.013142889,0.013142889,0.013142889,0.013142889,0,0,0,0,0,0.013142889,0,0,0.013142889,0,0,0.013142889,0.039428666,0.013142889,0,0,0.013142889,0.026285777,0.026285777,0,0.013142889,0,0,0.026285777,0.013142889,0,0,0,0,0.039428666,0,0.026285777,0.026285777,0.013142889,0,0.013142889,0,0.026285777,0,0,0.013142889,0,0,0,0.013142889,0,0,0,0,0.026285777,0.013142889,0,0,0,0,0.290058907,0.197368439
0,0,0,0,0,0,0.022702113,0.045404226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.056755283,0.03405317,0,0.045404226,0.011351057,0.03405317,0.011351057,0,0,0,0,0,0.068106339,0,0,0,0,0.022702113,0,0.011351057,0.011351057,0.011351057,0.011351057,0,0.011351057,0.011351057,0,0,0,0,0,0,0.011351057,0,0,0.011351057,0,0,0,0,0,0,0,0.280698008,0.276610785
0,0,0,0,0,0,0,0.026735801,0,0,0.013367901,0,0.013367901,0,0,0,0,0,0.013367901,0,0,0.013367901,0.053471602,0.026735801,0,0.013367901,0.026735801,0.026735801,0.013367901,0,0,0,0.013367901,0,0,0.026735801,0,0,0.026735801,0.026735801,0,0.013367901,0.013367901,0.040103702,0.013367901,0.013367901,0.013367901,0.013367901,0,0,0.013367901,0,0,0,0.013367901,0,0.013367901,0,0,0.013367901,0,0,0.013367901,0,0,0.278626974,0.200024903
0,0,0,0.012816282,0,0,0,0.012816282,0.012816282,0,0.025632563,0,0,0.012816282,0,0,0,0.012816282,0,0,0.012816282,0.012816282,0,0,0,0.012816282,0.012816282,0.012816282,0.025632563,0,0,0.012816282,0.025632563,0,0.012816282,0,0,0,0.012816282,0.038448845,0.025632563,0,0.038448845,0,0,0,0.012816282,0.012816282,0.012816282,0,0,0.012816282,0,0.012816282,0,0.012816282,0,0,0,0.025632563,0.012816282,0,0.012816282,0.012816282,0.012816282,0.272980944,0.227184075
0,0.01609317,0.01609317,0,0,0.01609317,0.01609317,0,0.01609317,0.032186339,0,0.01609317,0,0,0,0,0,0.032186339,0,0.01609317,0,0,0.032186339,0.01609317,0.01609317,0.01609317,0.01609317,0,0,0,0,0.01609317,0.032186339,0,0.032186339,0.032186339,0,0.01609317,0.01609317,0,0.01609317,0,0.01609317,0.01609317,0,0,0.01609317,0.01609317,0,0,0,0,0,0.01609317,0,0.01609317,0,0.01609317,0,0,0.032186339,0,0.01609317,0.01609317,0.01609317,0.205985007,0.166381377
0,0.043485482,0.014495161,0.014495161,0.014495161,0,0,0.014495161,0.028990321,0.014495161,0,0.014495161,0,0.014495161,0,0.014495161,0,0.014495161,0.014495161,0,0,0.014495161,0,0,0,0,0,0,0.014495161,0,0,0.028990321,0,0.043485482,0.014495161,0,0,0.014495161,0,0,0,0.043485482,0.014495161,0,0,0.014495161,0.014495161,0.014495161,0,0,0,0.014495161,0.014495161,0,0.014495161,0,0,0,0,0.043485482,0.028990321,0,0,0,0,0.238854544,0.195834187
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.027418184,0.054836369,0.013709092,0,0.013709092,0.082254553,0,0,0.027418184,0,0.013709092,0,0,0,0,0,0.027418184,0.027418184,0.027418184,0,0.068545461,0.054836369,0.013709092,0,0.013709092,0,0,0,0,0,0,0,0.027418184,0.013709092,0,0,0,0,0,0,0,0.013709092,0.013709092,0.208333281,0.257012122
0,0,0.015956591,0.015956591,0,0.031913183,0,0,0,0,0.047869774,0.031913183,0.015956591,0,0.015956591,0,0,0.031913183,0,0.031913183,0.015956591,0.031913183,0.031913183,0,0.015956591,0,0.031913183,0,0,0,0,0.015956591,0,0,0,0.031913183,0,0,0.063826366,0.031913183,0,0.031913183,0.015956591,0,0,0.015956591,0,0,0,0,0.015956591,0,0,0.015956591,0,0,0,0,0,0.015956591,0,0,0,0,0,0.24157806,0.136114877
