Target2,DataPseKNC1,DataPseKNC2 ,DataPseKNC3,DataPseKNC4,DataPseKNC5,DataPseKNC6,DataPseKNC7,DataPseKNC8,DataPseKNC9,DataPseKNC10,DataPseKNC11,DataPseKNC12,DataPseKNC13,DataPseKNC14,DataPseKNC15,DataPseKNC16,DataPseKNC17,DataPseKNC18,DataPseKNC19,DataPseKNC20,DataPseKNC21,DataPseKNC22,DataPseKNC23,DataPseKNC24,DataPseKNC25,DataPseKNC26,DataPseKNC27,DataPseKNC28,DataPseKNC29,DataPseKNC30,DataPseKNC31,DataPseKNC32,DataPseKNC33,DataPseKNC34,DataPseKNC35,DataPseKNC36,DataPseKNC37,DataPseKNC38,DataPseKNC39,DataPseKNC40,DataPseKNC41,DataPseKNC42,DataPseKNC43,DataPseKNC44,DataPseKNC45,DataPseKNC46,DataPseKNC47,DataPseKNC48,DataPseKNC49,DataPseKNC50,DataPseKNC51,DataPseKNC52,DataPseKNC53,DataPseKNC54,DataPseKNC55,DataPseKNC56,DataPseKNC57,DataPseKNC58,DataPseKNC59,DataPseKNC60,DataPseKNC61,DataPseKNC62,DataPseKNC63,DataPseKNC64,Lambda1,Lambda2
0,0.015254685,0,0.015254685,0.015254685,0.015254685,0.015254685,0.03050937,0.015254685,0,0.015254685,0,0.015254685,0,0,0,0.03050937,0,0.061018739,0.015254685,0.015254685,0,0.015254685,0.03050937,0.015254685,0.03050937,0.03050937,0,0,0.015254685,0.015254685,0,0,0.03050937,0,0,0,0.045764055,0,0,0,0,0,0,0,0,0.015254685,0,0,0,0.015254685,0,0,0.015254685,0.03050937,0,0,0,0,0,0,0,0.015254685,0,0,0.270385119,0.134682171
0,0,0.015039516,0,0,0,0.030079031,0,0.015039516,0.015039516,0,0,0.015039516,0.015039516,0.015039516,0,0,0,0,0.015039516,0,0.015039516,0.045118547,0.030079031,0.015039516,0.015039516,0.015039516,0.015039516,0.015039516,0,0,0,0.030079031,0.015039516,0.015039516,0.015039516,0.015039516,0,0.015039516,0,0,0.030079031,0,0,0,0,0.015039516,0.015039516,0,0,0,0,0.015039516,0,0.015039516,0.030079031,0,0,0,0.030079031,0,0,0.015039516,0.015039516,0,0.182692316,0.230766574
0,0,0,0,0.013181261,0.013181261,0.013181261,0,0,0.013181261,0,0,0.013181261,0,0,0,0.013181261,0,0,0.013181261,0,0.013181261,0,0.013181261,0,0,0.026362522,0.039543783,0,0,0,0,0,0.013181261,0.026362522,0.013181261,0,0,0.013181261,0.026362522,0,0.026362522,0.013181261,0.026362522,0.013181261,0,0.013181261,0.026362522,0.013181261,0,0,0,0,0,0,0.026362522,0,0.013181261,0,0.013181261,0.026362522,0,0,0.026362522,0,0.238427791,0.247503027
0,0.030400543,0.030400543,0.030400543,0,0,0.030400543,0,0,0,0.030400543,0,0.015200272,0,0,0.015200272,0,0,0,0.015200272,0.015200272,0.015200272,0.030400543,0.015200272,0.015200272,0.045600815,0,0.015200272,0,0,0,0,0.015200272,0.045600815,0,0,0,0,0.015200272,0.030400543,0,0,0.015200272,0.015200272,0,0,0.030400543,0,0,0.015200272,0,0,0,0.015200272,0,0.015200272,0,0,0,0,0.015200272,0.015200272,0,0,0,0.183228634,0.223960774
0,0.0337882,0.0168941,0,0.0168941,0,0.0337882,0,0,0,0,0,0,0,0.0168941,0.0168941,0,0.0168941,0,0,0.0168941,0.0168941,0.0168941,0.0168941,0.0168941,0,0.0168941,0,0,0,0,0.0506823,0.0506823,0,0,0,0,0,0,0,0.0506823,0,0,0,0,0,0,0.0168941,0.0168941,0.0168941,0.0168941,0,0,0.0168941,0.0168941,0,0.0168941,0,0.0337882,0,0.0337882,0.0337882,0.0337882,0,0,0.194745274,0.146384825
0,0.014405805,0.014405805,0,0.014405805,0.028811609,0.014405805,0.043217414,0,0.014405805,0,0,0,0,0,0,0.014405805,0,0.043217414,0,0,0,0,0.014405805,0,0.043217414,0.028811609,0,0.014405805,0,0,0,0,0.028811609,0.014405805,0.014405805,0,0.014405805,0,0.014405805,0,0,0,0,0,0,0,0,0.014405805,0,0,0,0,0,0,0.014405805,0,0,0,0,0,0,0.014405805,0,0.129652243,0.274973055,0.16320056
0,0.01483851,0,0.02967702,0.01483851,0,0.01483851,0,0,0,0,0.01483851,0,0,0,0.01483851,0,0.01483851,0.01483851,0,0,0.01483851,0.04451553,0,0.01483851,0,0,0,0.02967702,0,0.01483851,0,0.02967702,0.01483851,0,0,0,0,0,0,0.01483851,0.01483851,0.01483851,0.02967702,0,0.01483851,0.02967702,0.01483851,0,0.01483851,0,0,0,0.01483851,0.01483851,0.02967702,0.01483851,0,0,0.01483851,0.01483851,0,0.02967702,0,0,0.207536098,0.213762019
0,0.015561159,0,0,0.031122317,0.015561159,0,0,0,0,0,0,0.031122317,0.031122317,0,0.015561159,0.046683476,0.015561159,0.015561159,0.015561159,0.031122317,0.015561159,0.015561159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.015561159,0.015561159,0,0,0,0.031122317,0,0,0.015561159,0,0.031122317,0,0.015561159,0,0.015561159,0.046683476,0.015561159,0,0,0,0,0,0.031122317,0.015561159,0.031122317,0.015561159,0,0.015561159,0.232569401,0.160545408
0,0.013492674,0,0.013492674,0.013492674,0.013492674,0.013492674,0,0,0,0.013492674,0.013492674,0.013492674,0.013492674,0,0,0.013492674,0.013492674,0,0.013492674,0.013492674,0.013492674,0,0,0,0,0,0,0.026985348,0,0,0,0.013492674,0.013492674,0.013492674,0,0,0,0,0.013492674,0,0.026985348,0.013492674,0.013492674,0.013492674,0.013492674,0.013492674,0.026985348,0,0,0.013492674,0.013492674,0,0.013492674,0,0.013492674,0,0,0,0.040478022,0,0,0.013492674,0.013492674,0.013492674,0.256115012,0.217670707
0,0,0,0,0,0,0.042805209,0,0,0.014268403,0.014268403,0,0,0.014268403,0,0.042805209,0,0,0.028536806,0.028536806,0.014268403,0.042805209,0,0,0,0,0.014268403,0.014268403,0.014268403,0.014268403,0,0,0,0,0.014268403,0,0.028536806,0.028536806,0,0.042805209,0,0.014268403,0.028536806,0.014268403,0,0,0.014268403,0,0,0,0,0,0.014268403,0,0,0,0.014268403,0.014268403,0,0.028536806,0,0,0,0,0,0.259377545,0.184154741
0,0.095352129,0.031784043,0.031784043,0,0,0.031784043,0.015892022,0,0.015892022,0.015892022,0,0.015892022,0.047676065,0,0,0,0,0,0,0,0,0.015892022,0.015892022,0.015892022,0.015892022,0.015892022,0.015892022,0,0,0,0,0.015892022,0.047676065,0,0,0,0,0.015892022,0.015892022,0,0.015892022,0,0,0,0.015892022,0,0,0,0.015892022,0.015892022,0,0.047676065,0,0,0,0,0,0,0,0,0.015892022,0,0,0,0.221757957,0.158453203
