Id	StartTime	EndTime	Sn	Sp	Pre	Acc	MCC	F1	AUROC	AUPRC
Z_curve_12bit_GBDT_model	2022-09-07 09:58:53	2022-09-07 09:58:53	60.736	56.652	58.492	58.686	0.1749	0.5944	0.619	0.6223
PS3_GBDT_model	2022-09-07 09:58:53	2022-09-07 09:59:14	51.066	54.692	52.968	52.872	0.0576	0.5195	0.5467	0.5528
ANF_GBDT_model	2022-09-07 09:59:14	2022-09-07 09:59:16	53.928	49.846	51.712	51.892	0.038	0.527	0.5367	0.537
CKSNAP_GBDT_model	2022-09-07 09:59:16	2022-09-07 09:59:18	63.32	58.162	60.04	60.728	0.2167	0.6141	0.6378	0.6227
Z_curve_144bit_GBDT_model	2022-09-07 09:59:18	2022-09-07 09:59:20	59.834	59.816	59.774	59.82	0.1973	0.5966	0.6255	0.6074
NAC_GBDT_model	2022-09-07 09:59:20	2022-09-07 09:59:21	57.556	46.524	51.784	52.036	0.0413	0.5449	0.5251	0.526
NMBroto_GBDT_model	2022-09-07 09:59:21	2022-09-07 09:59:22	56.826	56.358	56.508	56.572	0.1333	0.5638	0.6037	0.5879
PS2_GBDT_model	2022-09-07 09:59:22	2022-09-07 09:59:26	50.926	52.412	51.474	51.664	0.0334	0.5114	0.5333	0.5247
PS4_GBDT_model	2022-09-07 09:59:26	2022-09-07 10:02:10	64.814	43.366	53.374	54.08	0.084	0.585	0.5526	0.538
KNN_GBDT_model	2022-09-07 10:02:10	2022-09-07 10:02:49	52.874	51.058	51.918	51.964	0.0394	0.5236	0.5133	0.5166
NCP_GBDT_model	2022-09-07 10:02:50	2022-09-07 10:02:51	51.83	53.166	52.334	52.492	0.0498	0.5194	0.5219	0.5162
SCPseDNC_GBDT_model	2022-09-07 10:02:51	2022-09-07 10:02:54	58.932	58.462	58.674	58.69	0.175	0.5864	0.6234	0.5968
Z_curve_36bit_GBDT_model	2022-09-07 10:02:54	2022-09-07 10:02:55	58.328	60.746	59.888	59.522	0.1918	0.589	0.6362	0.6212
DBE_GBDT_model	2022-09-07 10:02:55	2022-09-07 10:02:57	50.16	52.412	51.244	51.282	0.0256	0.5049	0.5134	0.5216
Z_curve_48bit_GBDT_model	2022-09-07 10:02:57	2022-09-07 10:02:58	60.146	60.732	60.562	60.426	0.2107	0.6008	0.6406	0.6186
DAC_GBDT_model	2022-09-07 10:02:58	2022-09-07 10:03:00	59.686	58.618	59.122	59.14	0.1845	0.5918	0.6135	0.5944
PseKNC_GBDT_model	2022-09-07 10:03:00	2022-09-07 10:03:04	61.812	59.226	60.316	60.498	0.2126	0.6074	0.6452	0.624
DCC_GBDT_model	2022-09-07 10:03:04	2022-09-07 10:03:07	60.152	57.094	58.164	58.61	0.1743	0.5889	0.622	0.616
Moran_GBDT_model	2022-09-07 10:03:07	2022-09-07 10:03:09	58.174	58.92	58.758	58.534	0.1718	0.5831	0.615	0.6075
LPDF_GBDT_model	2022-09-07 10:03:09	2022-09-07 10:03:10	58.608	48.186	53.108	53.394	0.0683	0.5572	0.5387	0.5213
Geary_GBDT_model	2022-09-07 10:03:10	2022-09-07 10:03:11	58.944	59.216	59.04	59.064	0.1831	0.5866	0.6157	0.61
ASDC_GBDT_model	2022-09-07 10:03:11	2022-09-07 10:03:12	56.364	48.946	52.522	52.644	0.0535	0.5426	0.5401	0.5274
ENAC_GBDT_model	2022-09-07 10:03:12	2022-09-07 10:03:16	59.98	52.282	55.75	56.118	0.1237	0.5763	0.5906	0.5805
PCPseDNC_GBDT_model	2022-09-07 10:03:16	2022-09-07 10:03:18	58.63	58.774	58.754	58.692	0.1744	0.5861	0.6268	0.6217
PSTNPss_GBDT_model	2022-09-07 10:03:18	2022-09-07 10:03:20	87.734	89.698	88.972	88.718	0.7744	0.8834	0.8975	0.9011
DPCP_GBDT_model	2022-09-07 10:03:20	2022-09-07 10:03:22	57.578	61.334	59.702	59.446	0.1897	0.5847	0.6321	0.6245
Kmer_GBDT_model	2022-09-07 10:03:22	2022-09-07 10:03:23	60.894	58.62	59.606	59.746	0.1962	0.6009	0.632	0.6163
binary_GBDT_model	2022-09-07 10:03:23	2022-09-07 10:03:25	53.028	49.85	51.286	51.434	0.0289	0.5211	0.5179	0.515
Mismatch_GBDT_model	2022-09-07 10:03:25	2022-09-07 10:03:26	55.302	52.728	53.906	54.004	0.0808	0.5445	0.5714	0.5547
Z_curve_9bit_GBDT_model	2022-09-07 10:03:26	2022-09-07 10:03:27	51.664	56.046	54.154	53.854	0.0775	0.5277	0.5536	0.5468
DACC_GBDT_model	2022-09-07 10:03:27	2022-09-07 10:03:31	59.69	59.216	59.156	59.446	0.1899	0.5926	0.6458	0.6524
MMI_GBDT_model	2022-09-07 10:03:31	2022-09-07 10:03:34	58.786	60.578	59.708	59.67	0.1946	0.5908	0.6241	0.6199
DPCP type2_GBDT_model	2022-09-07 10:03:34	2022-09-07 10:03:38	57.414	53.768	55.312	55.59	0.1125	0.5621	0.575	0.5758
PseDNC_GBDT_model	2022-09-07 10:03:38	2022-09-07 10:03:40	58.78	58.774	58.794	58.768	0.1759	0.5871	0.6281	0.6221
Subsequence_GBDT_model	2022-09-07 10:03:40	2022-09-07 10:03:44	57.428	61.334	59.618	59.37	0.1882	0.5834	0.632	0.6246
