Id	StartTime	EndTime	Sn	Sp	Pre	Acc	MCC	F1	AUROC	AUPRC
Z_curve_12bit_KNN_model	9/7/2022 9:29	9/7/2022 9:29	58.02	54.088	55.904	56.046	0.1219	0.5676	0.5754	0.5664
PS3_KNN_model	9/7/2022 9:29	9/7/2022 9:29	37.316	65.412	51.922	51.362	0.0286	0.4333	0.5208	0.5218
ANF_KNN_model	9/7/2022 9:29	9/7/2022 9:29	64.806	44.42	53.83	54.606	0.0946	0.5875	0.5567	0.5482
CKSNAP_KNN_model	9/7/2022 9:29	9/7/2022 9:29	60.896	49.996	54.76	55.438	0.1104	0.5755	0.5746	0.5802
Z_curve_144bit_KNN_model	9/7/2022 9:29	9/7/2022 9:29	54.248	57.86	56.24	56.038	0.1217	0.5507	0.5585	0.5467
NAC_KNN_model	9/7/2022 9:29	9/7/2022 9:29	51.972	49.09	50.454	50.526	0.0106	0.5116	0.5178	0.5255
NMBroto_KNN_model	9/7/2022 9:29	9/7/2022 9:29	58.18	56.348	57.172	57.248	0.1463	0.5747	0.5838	0.5705
PS2_KNN_model	9/7/2022 9:29	9/7/2022 9:29	39.444	63.602	51.86	51.512	0.0309	0.4471	0.5209	0.5204
PS4_KNN_model	9/7/2022 9:29	9/7/2022 9:29	49.264	56.798	53.18	53.024	0.0607	0.5111	0.5407	0.5478
KNN_KNN_model	9/7/2022 9:29	9/7/2022 9:30	51.214	55.142	53.316	53.174	0.0637	0.5222	0.5206	0.5125
NCP_KNN_model	9/7/2022 9:30	9/7/2022 9:30	48.186	54.08	51.224	51.134	0.0227	0.4965	0.5151	0.5221
SCPseDNC_KNN_model	9/7/2022 9:30	9/7/2022 9:30	56.644	54.37	55.592	55.508	0.1105	0.5603	0.5659	0.5733
Z_curve_36bit_KNN_model	9/7/2022 9:30	9/7/2022 9:30	47.29	59.228	53.696	53.25	0.0657	0.5024	0.5523	0.5333
DBE_KNN_model	9/7/2022 9:30	9/7/2022 9:30	48.502	56.806	52.868	52.646	0.0533	0.5054	0.5261	0.5364
Z_curve_48bit_KNN_model	9/7/2022 9:30	9/7/2022 9:30	57.564	51.804	54.306	54.682	0.0942	0.5582	0.5687	0.5737
DAC_KNN_model	9/7/2022 9:30	9/7/2022 9:30	56.192	52.276	54.198	54.23	0.0849	0.5507	0.5621	0.579
PseKNC_KNN_model	9/7/2022 9:30	9/7/2022 9:30	58.932	53.024	55.53	55.964	0.1206	0.5703	0.575	0.5828
DCC_KNN_model	9/7/2022 9:30	9/7/2022 9:30	57.716	54.074	55.786	55.89	0.1183	0.5662	0.5836	0.5683
Moran_KNN_model	9/7/2022 9:30	9/7/2022 9:30	55.904	54.378	55.122	55.134	0.1031	0.5544	0.5675	0.5624
LPDF_KNN_model	9/7/2022 9:30	9/7/2022 9:30	61.176	43.214	51.88	52.194	0.0445	0.5614	0.5235	0.5332
Geary_KNN_model	9/7/2022 9:30	9/7/2022 9:30	55.6	54.376	54.964	54.982	0.1	0.5521	0.5601	0.5644
ASDC_KNN_model	9/7/2022 9:30	9/7/2022 9:30	56.798	45.762	51.192	51.28	0.0256	0.5384	0.5251	0.544
ENAC_KNN_model	9/7/2022 9:30	9/7/2022 9:30	71.908	34.124	52.234	53.022	0.065	0.6047	0.5553	0.569
PCPseDNC_KNN_model	9/7/2022 9:30	9/7/2022 9:30	57.866	54.088	55.79	55.966	0.12	0.5674	0.5843	0.5763
PSTNPss_KNN_model	9/7/2022 9:30	9/7/2022 9:30	66.026	46.222	55.076	56.116	0.1256	0.6001	0.5625	0.556
DPCP_KNN_model	9/7/2022 9:30	9/7/2022 9:30	57.72	55.146	56.51	56.42	0.1298	0.5685	0.5903	0.5953
Kmer_KNN_model	9/7/2022 9:30	9/7/2022 9:30	56.368	51.814	53.774	54.078	0.0822	0.549	0.5576	0.5454
binary_KNN_model	9/7/2022 9:30	9/7/2022 9:30	46.834	54.684	50.768	50.758	0.0152	0.4868	0.5201	0.5131
Mismatch_KNN_model	9/7/2022 9:30	9/7/2022 9:30	56.358	56.496	56.3	56.418	0.129	0.5621	0.5753	0.566
Z_curve_9bit_KNN_model	9/7/2022 9:30	9/7/2022 9:30	48.814	56.646	52.8	52.72	0.0547	0.5062	0.5333	0.519
DACC_KNN_model	9/7/2022 9:30	9/7/2022 9:30	56.034	50.616	53.266	53.322	0.0665	0.5456	0.5428	0.5587
MMI_KNN_model	9/7/2022 9:30	9/7/2022 9:30	51.37	53.624	52.486	52.488	0.0499	0.5187	0.5314	0.5369
DPCP type2_KNN_model	9/7/2022 9:30	9/7/2022 9:30	59.672	40.034	50.01	49.846	-0.0039	0.5435	0.4993	0.525
PseDNC_KNN_model	9/7/2022 9:30	9/7/2022 9:30	57.866	54.088	55.79	55.966	0.12	0.5674	0.5843	0.5763
Subsequence_KNN_model	9/7/2022 9:30	9/7/2022 9:30	57.268	52.574	54.576	54.908	0.0989	0.5581	0.5693	0.5621
