Id	StartTime	EndTime	Sn	Sp	Pre	Acc	MCC	F1	AUROC	AUPRC
Z_curve_12bit_LDA_model	2022-09-07 09:37:17	2022-09-07 09:37:17	62.418	61.038	61.548	61.714	0.2381	0.6159	0.6586	0.6513
PS3_LDA_model	2022-09-07 09:37:17	2022-09-07 09:37:26	50.926	54.09	52.506	52.496	0.0508	0.5149	0.5302	0.5284
ANF_LDA_model	2022-09-07 09:37:26	2022-09-07 09:37:26	57.696	48.788	53.146	53.246	0.0651	0.5525	0.5432	0.5357
CKSNAP_LDA_model	2022-09-07 09:37:26	2022-09-07 09:37:27	65.136	59.972	61.868	62.54	0.2541	0.6316	0.6568	0.6346
Z_curve_144bit_LDA_model	2022-09-07 09:37:27	2022-09-07 09:37:27	55.608	56.496	56.274	56.042	0.1219	0.5574	0.617	0.6099
NAC_LDA_model	2022-09-07 09:37:27	2022-09-07 09:37:27	54.694	52.11	53.07	53.402	0.0687	0.5371	0.5541	0.5481
NMBroto_LDA_model	2022-09-07 09:37:27	2022-09-07 09:37:28	61.344	56.652	58.594	58.988	0.1814	0.5977	0.6312	0.6109
PS2_LDA_model	2022-09-07 09:37:28	2022-09-07 09:37:30	52.128	52.718	52.384	52.416	0.0485	0.522	0.5415	0.5384
PS4_LDA_model	2022-09-07 09:37:30	2022-09-07 09:38:24	50.764	51.066	50.936	50.906	0.0183	0.508	0.5086	0.5063
KNN_LDA_model	2022-09-07 09:38:38	2022-09-07 09:39:18	53.936	55.148	54.718	54.534	0.0912	0.5421	0.5536	0.5467
NCP_LDA_model	2022-09-07 09:39:18	2022-09-07 09:39:18	50.306	48.49	49.284	49.394	-0.0121	0.497	0.5048	0.5143
SCPseDNC_LDA_model	2022-09-07 09:39:18	2022-09-07 09:39:19	62.864	60.878	61.766	61.862	0.2409	0.6188	0.6601	0.6475
Z_curve_36bit_LDA_model	2022-09-07 09:39:19	2022-09-07 09:39:19	59.996	59.376	59.496	59.672	0.1953	0.5951	0.6436	0.6353
DBE_LDA_model	2022-09-07 09:39:19	2022-09-07 09:39:19	51.664	49.396	50.436	50.53	0.0106	0.5095	0.505	0.5114
Z_curve_48bit_LDA_model	2022-09-07 09:39:19	2022-09-07 09:39:20	61.804	59.668	60.684	60.724	0.2169	0.6096	0.6613	0.6525
DAC_LDA_model	2022-09-07 09:39:20	2022-09-07 09:39:20	67.544	57.706	61.524	62.614	0.2559	0.6416	0.6575	0.6296
PseKNC_LDA_model	2022-09-07 09:39:20	2022-09-07 09:39:21	61.804	59.52	60.518	60.654	0.2157	0.6088	0.6552	0.6424
DCC_LDA_model	2022-09-07 09:39:21	2022-09-07 09:39:22	63.314	59.674	61.052	61.484	0.2317	0.6196	0.664	0.6626
Moran_LDA_model	2022-09-07 09:39:22	2022-09-07 09:39:23	66.334	58.764	61.716	62.536	0.2535	0.6373	0.6538	0.6404
LPDF_LDA_model	2022-09-07 09:39:23	2022-09-07 09:39:23	59.964	50.448	54.782	55.208	0.1048	0.5721	0.5537	0.5258
Geary_LDA_model	2022-09-07 09:39:23	2022-09-07 09:39:24	65.124	57.852	60.728	61.478	0.2321	0.6262	0.6492	0.6375
ASDC_LDA_model	2022-09-07 09:39:24	2022-09-07 09:39:24	58.926	45.624	51.796	52.272	0.0481	0.5496	0.535	0.5115
ENAC_LDA_model	2022-09-07 09:39:24	2022-09-07 09:39:24	50.156	49.55	49.804	49.85	-0.003	0.499	0.5134	0.5205
PCPseDNC_LDA_model	2022-09-07 09:39:24	2022-09-07 09:39:25	64.534	60.274	61.718	62.394	0.2511	0.6282	0.6693	0.6599
PSTNPss_LDA_model	2022-09-07 09:39:25	2022-09-07 09:39:26	52.722	52.262	52.516	52.49	0.0499	0.5258	0.5367	0.5293
DPCP_LDA_model	2022-09-07 09:39:26	2022-09-07 09:39:26	61.356	61.032	60.972	61.186	0.2267	0.6087	0.6563	0.6453
Kmer_LDA_model	2022-09-07 09:39:26	2022-09-07 09:39:26	61.654	58.912	60.164	60.274	0.2088	0.6055	0.6545	0.6426
binary_LDA_model	2022-09-07 09:39:26	2022-09-07 09:39:26	50.306	48.49	49.284	49.394	-0.0121	0.497	0.5048	0.5143
Mismatch_LDA_model	2022-09-07 09:39:26	2022-09-07 09:39:27	61.356	61.032	60.972	61.186	0.2267	0.6087	0.6563	0.6453
Z_curve_9bit_LDA_model	2022-09-07 09:39:27	2022-09-07 09:39:27	53.17	53.02	53.1	53.1	0.0619	0.531	0.5535	0.5555
DACC_LDA_model	2022-09-07 09:39:27	2022-09-07 09:39:29	62.712	59.676	60.824	61.18	0.2254	0.6158	0.6629	0.6574
MMI_LDA_model	2022-09-07 09:39:29	2022-09-07 09:39:29	61.348	61.94	61.782	61.634	0.2343	0.6139	0.6606	0.6536
DPCP type2_LDA_model	2022-09-07 09:39:29	2022-09-07 09:39:30	53.638	51.506	52.436	52.566	0.0514	0.5295	0.5503	0.5517
PseDNC_LDA_model	2022-09-07 09:39:30	2022-09-07 09:39:30	64.534	60.274	61.718	62.394	0.2511	0.6282	0.6693	0.6599
Subsequence_LDA_model	2022-09-07 09:39:30	2022-09-07 09:39:34	61.356	61.032	60.972	61.186	0.2267	0.6087	0.6563	0.6453
