Id	StartTime	EndTime	Sn	Sp	Pre	Acc	MCC	F1	AUROC	AUPRC
Z_curve_12bit_MLP_model	2022-09-06 16:04:40	2022-09-06 16:04:43	57.588	65.266	62.314	61.41	0.2316	0.594	0.6424	0.642
PS3_MLP_model	2022-09-06 16:04:43	2022-09-06 16:04:52	55.156	53.484	54.234	54.308	0.0868	0.5454	0.552	0.5451
ANF_MLP_model	2022-09-06 16:04:52	2022-09-06 16:04:55	59.354	48.506	53.548	53.93	0.0791	0.5628	0.5517	0.5395
CKSNAP_MLP_model	2022-09-06 16:04:55	2022-09-06 16:04:58	61.66	61.328	61.414	61.482	0.2323	0.6123	0.6479	0.6243
Z_curve_144bit_MLP_model	2022-09-06 16:04:58	2022-09-06 16:05:02	57.87	58.004	58.146	57.93	0.1596	0.5786	0.6128	0.6023
NAC_MLP_model	2022-09-06 16:05:02	2022-09-06 16:05:03	56.036	50.748	53.374	53.404	0.0677	0.5458	0.5495	0.5494
NMBroto_MLP_model	2022-09-06 16:05:03	2022-09-06 16:05:07	57.284	59.064	58.49	58.154	0.1658	0.574	0.6134	0.6023
PS2_MLP_model	2022-09-06 16:05:07	2022-09-06 16:05:09	55.0	51.808	53.154	53.4	0.0684	0.5393	0.5477	0.5477
PS4_MLP_model	2022-09-06 16:05:09	2022-09-06 16:05:54	57.734	52.124	54.364	54.908	0.0994	0.5573	0.5636	0.5536
KNN_MLP_model	2022-09-06 16:05:54	2022-09-06 16:06:34	55.442	50.126	52.642	52.794	0.0568	0.5332	0.5342	0.5224
NCP_MLP_model	2022-09-06 16:06:34	2022-09-06 16:06:37	51.824	51.656	51.934	51.732	0.0349	0.5176	0.529	0.5249
SCPseDNC_MLP_model	2022-09-06 16:06:37	2022-09-06 16:06:38	78.208	23.176	50.608	50.678	0.0376	0.5684	0.5407	0.527
Z_curve_36bit_MLP_model	2022-09-06 16:06:38	2022-09-06 16:06:41	60.444	55.29	57.434	57.856	0.1592	0.5866	0.6109	0.6045
DBE_MLP_model	2022-09-06 16:06:41	2022-09-06 16:06:45	46.99	48.956	47.908	47.96	-0.0407	0.4733	0.4856	0.4951
Z_curve_48bit_MLP_model	2022-09-06 16:06:45	2022-09-06 16:06:49	58.184	62.69	60.968	60.424	0.2116	0.5915	0.6493	0.6428
DAC_MLP_model	2022-09-06 16:06:49	2022-09-06 16:06:52	67.084	50.3	57.416	58.688	0.1781	0.6175	0.6291	0.6186
PseKNC_MLP_model	2022-09-06 16:06:52	2022-09-06 16:06:56	60.302	63.892	62.906	62.086	0.2467	0.6102	0.6674	0.6541
DCC_MLP_model	2022-09-06 16:06:56	2022-09-06 16:07:01	65.878	52.566	58.306	59.216	0.1874	0.6167	0.627	0.6132
Moran_MLP_model	2022-09-06 16:07:01	2022-09-06 16:07:04	59.694	61.026	60.408	60.348	0.2088	0.5974	0.6291	0.6083
LPDF_MLP_model	2022-09-06 16:07:04	2022-09-06 16:07:08	61.768	48.32	54.402	55.056	0.1026	0.5776	0.5561	0.5352
Geary_MLP_model	2022-09-06 16:07:08	2022-09-06 16:07:11	60.296	61.022	60.762	60.65	0.2151	0.6022	0.6401	0.6229
ASDC_MLP_model	2022-09-06 16:07:11	2022-09-06 16:07:14	60.136	50.45	54.55	55.294	0.1106	0.5691	0.563	0.5371
ENAC_MLP_model	2022-09-06 16:07:14	2022-09-06 16:07:18	57.114	52.276	54.49	54.684	0.0942	0.5572	0.5791	0.5807
PCPseDNC_MLP_model	2022-09-06 16:07:18	2022-09-06 16:07:21	64.076	61.338	62.274	62.694	0.2565	0.6293	0.6708	0.665
PSTNPss_MLP_model	2022-09-06 16:07:21	2022-09-06 16:07:25	53.776	50.602	52.074	52.188	0.044	0.5281	0.5435	0.5322
DPCP_MLP_model	2022-09-06 16:07:25	2022-09-06 16:07:28	54.4	60.276	57.662	57.33	0.1475	0.558	0.598	0.5852
Kmer_MLP_model	2022-09-06 16:07:28	2022-09-06 16:07:31	62.41	62.844	63.022	62.614	0.2556	0.6234	0.675	0.6597
binary_MLP_model	2022-09-06 16:07:31	2022-09-06 16:07:34	51.82	51.204	51.448	51.508	0.0303	0.5154	0.5253	0.5325
Mismatch_MLP_model	2022-09-06 16:07:34	2022-09-06 16:07:37	66.014	54.34	59.394	60.2	0.2136	0.6177	0.6491	0.6254
Z_curve_9bit_MLP_model	2022-09-06 16:07:37	2022-09-06 16:07:40	51.07	58.024	55.104	54.536	0.0919	0.5285	0.5679	0.5739
DACC_MLP_model	2022-09-06 16:07:40	2022-09-06 16:07:45	62.404	57.702	59.606	60.046	0.2021	0.6086	0.6249	0.6086
MMI_MLP_model	2022-09-06 16:07:45	2022-09-06 16:07:48	59.988	56.35	57.862	58.158	0.1644	0.5873	0.6089	0.6061
DPCP type2_MLP_model	2022-09-06 16:07:48	2022-09-06 16:07:51	45.77	55.722	50.668	50.756	0.0147	0.472	0.5054	0.5009
PseDNC_MLP_model	2022-09-06 16:07:51	2022-09-06 16:07:55	64.076	61.338	62.274	62.694	0.2565	0.6293	0.6708	0.665
Subsequence_MLP_model	2022-09-06 16:07:55	2022-09-06 16:08:02	57.122	56.042	56.38	56.574	0.1323	0.5663	0.588	0.5812
