Id	StartTime	EndTime	Sn	Sp	Pre	Acc	MCC	F1	AUROC	AUPRC
Z_curve_12bit_QDA_model	2022-09-07 09:40:54	2022-09-07 09:40:54	67.24	50.61	57.758	58.916	0.1821	0.62	0.6236	0.6063
PS3_QDA_model	2022-09-07 09:40:54	2022-09-07 09:40:58	56.072	38.674	47.79	47.356	-0.0558	0.5126	0.4737	0.6292
ANF_QDA_model	2022-09-07 09:40:58	2022-09-07 09:40:58	66.928	44.278	54.588	55.592	0.1153	0.6008	0.5628	0.5422
CKSNAP_QDA_model	2022-09-07 09:40:58	2022-09-07 09:40:58	49.402	58.134	54.324	53.778	0.0774	0.5099	0.5564	0.5552
Z_curve_144bit_QDA_model	2022-09-07 09:40:58	2022-09-07 09:40:59	60.268	54.536	57.052	57.398	0.1485	0.5858	0.606	0.606
NAC_QDA_model	2022-09-07 09:40:59	2022-09-07 09:40:59	85.944	20.996	52.184	53.482	0.0882	0.6489	0.5515	0.5407
NMBroto_QDA_model	2022-09-07 09:40:59	2022-09-07 09:40:59	68.59	46.372	56.212	57.478	0.1544	0.6167	0.6019	0.5808
PS2_QDA_model	2022-09-07 09:40:59	2022-09-07 09:41:00	58.324	44.862	51.348	51.59	0.0334	0.544	0.5182	0.6492
PS4_QDA_model	2022-09-07 09:41:00	2022-09-07 09:41:50	59.412	41.72	50.182	50.528	0.0136	0.5341	0.5057	0.6496
KNN_QDA_model	2022-09-07 09:42:29	2022-09-07 09:43:08	48.29	52.08	51.256	50.224	0.0058	0.4474	0.5147	0.5677
NCP_QDA_model	2022-09-07 09:43:08	2022-09-07 09:43:08	39.87	61.334	50.624	50.604	0.0121	0.4433	0.5058	0.5554
SCPseDNC_QDA_model	2022-09-07 09:43:08	2022-09-07 09:43:09	73.15	37.48	54.078	55.286	0.1176	0.6177	0.5866	0.5642
Z_curve_36bit_QDA_model	2022-09-07 09:43:09	2022-09-07 09:43:09	59.228	56.042	57.432	57.63	0.1534	0.5817	0.6016	0.6038
DBE_QDA_model	2022-09-07 09:43:09	2022-09-07 09:43:09	57.09	40.292	48.958	48.716	-0.0283	0.5192	0.4877	0.6338
Z_curve_48bit_QDA_model	2022-09-07 09:43:09	2022-09-07 09:43:09	63.908	54.992	58.754	59.442	0.1906	0.6111	0.6365	0.6144
DAC_QDA_model	2022-09-07 09:43:09	2022-09-07 09:43:10	67.542	49.696	57.378	58.608	0.1764	0.619	0.6293	0.5977
PseKNC_QDA_model	2022-09-07 09:43:10	2022-09-07 09:43:10	66.628	50.17	57.46	58.384	0.1729	0.6138	0.6056	0.5869
DCC_QDA_model	2022-09-07 09:43:10	2022-09-07 09:43:12	61.494	53.332	57.094	57.402	0.1499	0.5899	0.6044	0.6
Moran_QDA_model	2022-09-07 09:43:12	2022-09-07 09:43:12	67.096	50.754	57.588	58.914	0.1829	0.6182	0.6294	0.5977
LPDF_QDA_model	2022-09-07 09:43:12	2022-09-07 09:43:12	72.36	39.12	54.298	55.742	0.1223	0.6202	0.58	0.5559
Geary_QDA_model	2022-09-07 09:43:12	2022-09-07 09:43:13	67.398	50.302	57.446	58.836	0.1816	0.6185	0.6211	0.5893
ASDC_QDA_model	2022-09-07 09:43:13	2022-09-07 09:43:13	73.418	38.846	54.716	56.126	0.1291	0.6265	0.5837	0.564
ENAC_QDA_model	2022-09-07 09:43:13	2022-09-07 09:43:14	64.072	33.554	49.006	48.794	-0.0316	0.5447	0.4914	0.6532
PCPseDNC_QDA_model	2022-09-07 09:43:14	2022-09-07 09:43:14	55.896	60.724	58.416	58.304	0.1673	0.5688	0.6147	0.5869
PSTNPss_QDA_model	2022-09-07 09:43:14	2022-09-07 09:43:15	52.57	52.412	52.886	52.486	0.0501	0.5257	0.5308	0.5275
DPCP_QDA_model	2022-09-07 09:43:15	2022-09-07 09:43:15	42.05	64.214	54.048	53.1	0.0662	0.4546	0.5363	0.5614
Kmer_QDA_model	2022-09-07 09:43:15	2022-09-07 09:43:15	61.048	54.086	57.098	57.554	0.1529	0.5882	0.6123	0.5942
binary_QDA_model	2022-09-07 09:43:15	2022-09-07 09:43:15	51.862	48.018	49.192	49.926	0.0075	0.4713	0.5074	0.6326
Mismatch_QDA_model	2022-09-07 09:43:15	2022-09-07 09:43:16	71.628	37.016	52.84	54.308	0.0995	0.6023	0.5679	0.5511
Z_curve_9bit_QDA_model	2022-09-07 09:43:16	2022-09-07 09:43:16	52.738	57.868	55.682	55.29	0.1067	0.5402	0.5737	0.5728
DACC_QDA_model	2022-09-07 09:43:16	2022-09-07 09:43:18	59.526	53.18	55.976	56.348	0.1278	0.5762	0.6024	0.5905
MMI_QDA_model	2022-09-07 09:43:18	2022-09-07 09:43:18	59.544	58.778	58.972	59.138	0.1849	0.5898	0.6233	0.6094
DPCP type2_QDA_model	2022-09-07 09:43:18	2022-09-07 09:43:18	53.186	53.93	53.522	53.554	0.0714	0.5328	0.5517	0.5404
PseDNC_QDA_model	2022-09-07 09:43:18	2022-09-07 09:43:18	55.896	60.724	58.416	58.304	0.1673	0.5688	0.6147	0.5869
Subsequence_QDA_model	2022-09-07 09:43:18	2022-09-07 09:43:22	60.726	52.552	56.052	56.648	0.1372	0.5784	0.5748	0.559
