Id	StartTime	EndTime	Sn	Sp	Pre	Acc	MCC	F1	AUROC	AUPRC
Z_curve_12bit_RF_model	2022-09-06 15:46:10	2022-09-06 15:46:11	56.97	55.284	55.906	56.122	0.1229	0.5631	0.5972	0.6036
PS3_RF_model	2022-09-06 15:46:11	2022-09-06 15:46:18	50.152	54.692	52.556	52.42	0.0485	0.513	0.5457	0.5478
ANF_RF_model	2022-09-06 15:46:18	2022-09-06 15:46:19	51.362	56.196	53.958	53.776	0.0758	0.5257	0.5586	0.5654
CKSNAP_RF_model	2022-09-06 15:46:19	2022-09-06 15:46:21	60.602	57.408	58.516	58.992	0.1814	0.5931	0.6372	0.6257
Z_curve_144bit_RF_model	2022-09-06 15:46:21	2022-09-06 15:46:22	60.74	57.704	59.034	59.216	0.1855	0.5967	0.629	0.6202
NAC_RF_model	2022-09-06 15:46:23	2022-09-06 15:46:23	57.27	49.684	53.228	53.474	0.0699	0.551	0.5394	0.5802
NMBroto_RF_model	2022-09-06 15:46:23	2022-09-06 15:46:25	59.542	54.082	56.318	56.8	0.1377	0.577	0.6035	0.582
PS2_RF_model	2022-09-06 15:46:25	2022-09-06 15:46:26	54.702	52.412	53.488	53.552	0.0714	0.5401	0.5417	0.5413
PS4_RF_model	2022-09-06 15:46:27	2022-09-06 15:47:17	58.482	51.97	54.796	55.216	0.1055	0.5645	0.567	0.5643
KNN_RF_model	2022-09-06 15:47:17	2022-09-06 15:47:56	52.582	50.452	51.332	51.51	0.0307	0.5182	0.5021	0.5045
NCP_RF_model	2022-09-06 15:47:56	2022-09-06 15:47:57	54.248	48.95	51.406	51.59	0.0321	0.527	0.5342	0.5393
SCPseDNC_RF_model	2022-09-06 15:47:57	2022-09-06 15:47:59	59.242	57.706	58.298	58.464	0.1707	0.5859	0.6152	0.6023
Z_curve_36bit_RF_model	2022-09-06 15:47:59	2022-09-06 15:48:00	61.958	59.23	60.278	60.576	0.2136	0.6087	0.6483	0.624
DBE_RF_model	2022-09-06 15:48:00	2022-09-06 15:48:01	53.482	46.238	49.954	49.852	-0.0029	0.5156	0.4992	0.504
Z_curve_48bit_RF_model	2022-09-06 15:48:01	2022-09-06 15:48:03	61.958	55.29	58.342	58.608	0.1748	0.5977	0.6249	0.6051
DAC_RF_model	2022-09-06 15:48:03	2022-09-06 15:48:04	57.57	56.348	57.066	56.946	0.1405	0.57	0.5972	0.5788
PseKNC_RF_model	2022-09-06 15:48:04	2022-09-06 15:48:06	63.606	60.582	61.812	62.086	0.2426	0.6262	0.6625	0.6434
DCC_RF_model	2022-09-06 15:48:06	2022-09-06 15:48:09	60.902	56.942	58.37	58.914	0.1795	0.595	0.6109	0.6077
Moran_RF_model	2022-09-06 15:48:09	2022-09-06 15:48:11	58.02	54.98	56.37	56.494	0.1304	0.5708	0.5955	0.5815
LPDF_RF_model	2022-09-06 15:48:11	2022-09-06 15:48:12	56.652	52.858	54.626	54.756	0.0951	0.5561	0.5582	0.5441
Geary_RF_model	2022-09-06 15:48:12	2022-09-06 15:48:13	60.302	57.558	58.502	58.914	0.1805	0.591	0.6004	0.5967
ASDC_RF_model	2022-09-06 15:48:13	2022-09-06 15:48:15	52.876	52.87	53.06	52.868	0.0576	0.5287	0.5371	0.5442
ENAC_RF_model	2022-09-06 15:48:15	2022-09-06 15:48:17	60.592	53.174	56.394	56.876	0.139	0.5827	0.6059	0.6182
PCPseDNC_RF_model	2022-09-06 15:48:17	2022-09-06 15:48:19	57.868	55.91	56.934	56.876	0.1386	0.5721	0.6049	0.6064
PSTNPss_RF_model	2022-09-06 15:48:19	2022-09-06 15:48:21	86.236	83.356	83.93	84.792	0.6968	0.8503	0.8915	0.8954
DPCP_RF_model	2022-09-06 15:48:21	2022-09-06 15:48:22	56.67	55.292	55.794	55.97	0.1201	0.5613	0.5926	0.6
Kmer_RF_model	2022-09-06 15:48:22	2022-09-06 15:48:23	61.352	58.78	60.148	60.048	0.2045	0.6026	0.6326	0.6301
binary_RF_model	2022-09-06 15:48:23	2022-09-06 15:48:24	52.876	50.762	51.692	51.814	0.0366	0.5222	0.5256	0.5147
Mismatch_RF_model	2022-09-06 15:48:24	2022-09-06 15:48:26	56.662	53.476	55.012	55.058	0.1018	0.5574	0.5689	0.5576
Z_curve_9bit_RF_model	2022-09-06 15:48:26	2022-09-06 15:48:27	51.204	51.36	51.312	51.284	0.0257	0.5125	0.5259	0.5168
DACC_RF_model	2022-09-06 15:48:27	2022-09-06 15:48:30	59.396	60.42	59.758	59.898	0.1991	0.594	0.6355	0.6357
MMI_RF_model	2022-09-06 15:48:30	2022-09-06 15:48:32	60.606	59.366	59.664	59.974	0.2009	0.5995	0.6298	0.6342
DPCP type2_RF_model	2022-09-06 15:48:32	2022-09-06 15:48:34	54.236	53.466	53.702	53.854	0.0778	0.5376	0.5631	0.5511
PseDNC_RF_model	2022-09-06 15:48:34	2022-09-06 15:48:36	56.212	58.47	57.522	57.332	0.1476	0.5668	0.6072	0.602
Subsequence_RF_model	2022-09-06 15:48:36	2022-09-06 15:48:40	57.266	56.964	57.092	57.106	0.1427	0.5708	0.598	0.6128
