Id	StartTime	EndTime	Sn	Sp	Pre	Acc	MCC	F1	AUROC	AUPRC
Z_curve_12bit_XGBoost_model	2022-09-06 16:09:04	2022-09-06 16:09:21	62.856	56.944	59.35	59.896	0.1994	0.6089	0.6242	0.6264
PS3_XGBoost_model	2022-09-06 16:09:21	2022-09-06 16:39:31	55.748	53.772	54.898	54.76	0.0993	0.5406	0.5646	0.5619
ANF_XGBoost_model	2022-09-06 16:39:31	2022-09-06 16:40:13	53.936	56.354	55.242	55.138	0.1031	0.5453	0.5661	0.5649
CKSNAP_XGBoost_model	2022-09-06 16:40:13	2022-09-06 16:41:10	62.712	61.032	61.594	61.86	0.2385	0.62	0.656	0.647
Z_curve_144bit_XGBoost_model	2022-09-06 16:41:10	2022-09-06 16:43:03	60.59	59.508	60.002	60.044	0.2026	0.6006	0.6237	0.6048
NAC_XGBoost_model	2022-09-06 16:43:03	2022-09-06 16:43:12	57.412	51.506	54.27	54.454	0.0894	0.5574	0.5413	0.533
NMBroto_XGBoost_model	2022-09-06 16:43:12	2022-09-06 16:43:35	60.448	57.858	59.076	59.138	0.185	0.595	0.6065	0.5834
PS2_XGBoost_model	2022-09-06 16:43:35	2022-09-06 16:50:59	54.244	53.464	53.79	53.852	0.0773	0.5392	0.5407	0.5323
PS4_XGBoost_model	2022-09-06 16:50:59	2022-09-06 18:43:51	61.8	48.49	54.516	55.134	0.1046	0.5778	0.5578	0.5297
KNN_XGBoost_model	2022-09-06 18:43:51	2022-09-06 18:45:31	53.336	53.772	53.542	53.552	0.0712	0.534	0.5257	0.515
NCP_XGBoost_model	2022-09-06 18:45:31	2022-09-06 18:47:03	52.276	53.322	52.756	52.794	0.0561	0.5245	0.5261	0.5237
SCPseDNC_XGBoost_model	2022-09-06 18:47:03	2022-09-06 18:47:52	61.048	59.978	60.416	60.502	0.2114	0.6056	0.6348	0.6086
Z_curve_36bit_XGBoost_model	2022-09-06 18:47:52	2022-09-06 18:48:29	59.99	62.254	61.39	61.108	0.2234	0.6054	0.6337	0.6072
DBE_XGBoost_model	2022-09-06 18:48:29	2022-09-06 18:50:25	52.566	55.588	54.18	54.074	0.0817	0.533	0.5448	0.5433
Z_curve_48bit_XGBoost_model	2022-09-06 18:50:25	2022-09-06 18:51:10	61.804	61.042	61.444	61.406	0.231	0.6128	0.6548	0.6353
DAC_XGBoost_model	2022-09-06 18:51:10	2022-09-06 18:51:31	61.806	60.276	60.838	61.026	0.2221	0.6111	0.6311	0.6035
PseKNC_XGBoost_model	2022-09-06 18:51:31	2022-09-06 18:52:56	65.574	61.342	63.178	63.444	0.2715	0.641	0.6461	0.6155
DCC_XGBoost_model	2022-09-06 18:52:56	2022-09-06 18:53:47	61.194	59.502	60.184	60.35	0.2079	0.6057	0.6245	0.6174
Moran_XGBoost_model	2022-09-06 18:53:47	2022-09-06 18:54:08	59.844	60.884	60.61	60.348	0.2095	0.5988	0.6306	0.6129
LPDF_XGBoost_model	2022-09-06 18:54:08	2022-09-06 18:54:46	61.032	49.386	54.682	55.212	0.1049	0.5768	0.5627	0.5385
Geary_XGBoost_model	2022-09-06 18:54:46	2022-09-06 18:55:07	59.846	62.388	61.354	61.102	0.2243	0.6022	0.6408	0.6261
ASDC_XGBoost_model	2022-09-06 18:55:07	2022-09-06 18:55:31	58.474	51.502	54.592	54.982	0.1002	0.5641	0.5537	0.5483
ENAC_XGBoost_model	2022-09-06 18:55:31	2022-09-06 18:57:28	59.682	55.752	57.45	57.708	0.1555	0.5836	0.6068	0.6102
PCPseDNC_XGBoost_model	2022-09-06 18:57:28	2022-09-06 18:58:06	59.388	58.622	58.95	58.992	0.1807	0.5904	0.6363	0.6302
PSTNPss_XGBoost_model	2022-09-06 18:58:06	2022-09-06 18:58:58	90.0	89.244	89.77	89.624	0.7925	0.8988	0.8975	0.8955
DPCP_XGBoost_model	2022-09-06 18:58:58	2022-09-06 18:59:54	58.938	60.888	60.064	59.9	0.1992	0.5932	0.6339	0.6267
Kmer_XGBoost_model	2022-09-06 18:59:54	2022-09-06 19:00:48	61.346	60.434	60.862	60.88	0.2192	0.6091	0.6468	0.6404
binary_XGBoost_model	2022-09-06 19:00:48	2022-09-06 19:02:51	58.164	52.26	54.906	55.21	0.1047	0.5644	0.5606	0.542
Mismatch_XGBoost_model	2022-09-06 19:02:51	2022-09-06 19:03:12	58.632	55.14	56.582	56.876	0.1386	0.5746	0.5825	0.5671
Z_curve_9bit_XGBoost_model	2022-09-06 19:03:12	2022-09-06 19:03:26	49.248	62.248	56.978	55.74	0.1175	0.5256	0.5637	0.55
DACC_XGBoost_model	2022-09-06 19:03:26	2022-09-06 19:04:31	56.982	66.626	63.296	61.782	0.2403	0.5934	0.6558	0.6493
MMI_XGBoost_model	2022-09-06 19:04:31	2022-09-06 19:05:30	60.146	60.882	60.42	60.504	0.2111	0.6013	0.6246	0.6148
DPCP type2_XGBoost_model	2022-09-06 19:05:30	2022-09-06 19:07:43	57.558	55.736	56.528	56.648	0.133	0.5703	0.5712	0.5619
PseDNC_XGBoost_model	2022-09-06 19:07:43	2022-09-06 19:08:20	59.388	58.622	58.95	58.992	0.1807	0.5904	0.6363	0.6302
Subsequence_XGBoost_model	2022-09-06 19:08:20	2022-09-06 19:08:43	59.686	58.926	59.33	59.294	0.1875	0.5929	0.6317	0.6236
