Id	StartTime	EndTime	Sn	Sp	Pre	Acc	MCC	F1	AUROC	AUPRC
Z_curve_12bit_Bagging_model	2022-09-07 09:48:59	2022-09-07 09:48:59	65.714	45.326	54.73	55.514	0.1129	0.5962	0.579	0.5798
PS3_Bagging_model	2022-09-07 09:48:59	2022-09-07 09:49:11	51.516	52.718	52.234	52.114	0.0424	0.518	0.5203	0.5205
ANF_Bagging_model	2022-09-07 09:49:11	2022-09-07 09:49:11	62.242	41.542	51.568	51.888	0.0387	0.5638	0.5275	0.5268
CKSNAP_Bagging_model	2022-09-07 09:49:11	2022-09-07 09:49:12	65.28	45.616	54.382	55.442	0.1143	0.5917	0.5771	0.5695
Z_curve_144bit_Bagging_model	2022-09-07 09:49:12	2022-09-07 09:49:13	65.432	45.614	54.568	55.512	0.1136	0.594	0.581	0.5615
NAC_Bagging_model	2022-09-07 09:49:13	2022-09-07 09:49:13	55.0	47.416	51.19	51.204	0.024	0.5297	0.5169	0.5224
NMBroto_Bagging_model	2022-09-07 09:49:13	2022-09-07 09:49:13	61.802	47.576	54.058	54.68	0.0953	0.576	0.5658	0.5528
PS2_Bagging_model	2022-09-07 09:49:13	2022-09-07 09:49:15	58.18	43.962	50.77	51.06	0.0223	0.5416	0.5004	0.4969
PS4_Bagging_model	2022-09-07 09:49:15	2022-09-07 09:50:21	68.914	36.274	51.99	52.564	0.0578	0.5892	0.5537	0.552
KNN_Bagging_model	2022-09-07 09:50:21	2022-09-07 09:50:58	63.75	37.902	50.706	50.83	0.0168	0.5643	0.5038	0.511
NCP_Bagging_model	2022-09-07 09:50:58	2022-09-07 09:50:59	62.242	34.284	48.668	48.262	-0.0366	0.546	0.4886	0.505
SCPseDNC_Bagging_model	2022-09-07 09:50:59	2022-09-07 09:50:59	61.95	48.04	54.454	54.982	0.1015	0.5784	0.5586	0.5501
Z_curve_36bit_Bagging_model	2022-09-07 09:50:59	2022-09-07 09:51:00	66.328	47.304	55.826	56.8	0.139	0.6053	0.5913	0.5641
DBE_Bagging_model	2022-09-07 09:51:00	2022-09-07 09:51:00	63.904	37.92	50.758	50.908	0.0186	0.5655	0.5077	0.5117
Z_curve_48bit_Bagging_model	2022-09-07 09:51:00	2022-09-07 09:51:01	69.354	46.088	56.298	57.708	0.1601	0.62	0.582	0.563
DAC_Bagging_model	2022-09-07 09:51:01	2022-09-07 09:51:01	64.534	47.748	55.212	56.118	0.1268	0.5923	0.578	0.5614
PseKNC_Bagging_model	2022-09-07 09:51:01	2022-09-07 09:51:03	65.876	48.034	56.05	56.95	0.1426	0.6038	0.5893	0.6002
DCC_Bagging_model	2022-09-07 09:51:03	2022-09-07 09:51:04	65.258	47.876	55.608	56.57	0.1337	0.6	0.5838	0.5781
Moran_Bagging_model	2022-09-07 09:51:04	2022-09-07 09:51:05	64.068	46.078	54.324	55.06	0.104	0.5865	0.5666	0.5528
LPDF_Bagging_model	2022-09-07 09:51:05	2022-09-07 09:51:05	64.96	41.232	52.53	53.096	0.0636	0.5807	0.5509	0.5444
Geary_Bagging_model	2022-09-07 09:51:05	2022-09-07 09:51:06	65.426	46.53	55.022	55.966	0.1225	0.5967	0.5964	0.5965
ASDC_Bagging_model	2022-09-07 09:51:06	2022-09-07 09:51:07	60.886	42.594	51.538	51.738	0.0351	0.5578	0.5336	0.5305
ENAC_Bagging_model	2022-09-07 09:51:07	2022-09-07 09:51:08	65.87	44.26	54.06	55.06	0.105	0.5929	0.5453	0.5326
PCPseDNC_Bagging_model	2022-09-07 09:51:08	2022-09-07 09:51:08	63.76	46.388	54.346	55.062	0.1036	0.5856	0.5842	0.5794
PSTNPss_Bagging_model	2022-09-07 09:51:08	2022-09-07 09:51:10	85.322	75.066	76.996	80.192	0.6088	0.8091	0.8669	0.865
DPCP_Bagging_model	2022-09-07 09:51:10	2022-09-07 09:51:10	64.814	46.228	54.732	55.518	0.1122	0.5931	0.5815	0.5779
Kmer_Bagging_model	2022-09-07 09:51:10	2022-09-07 09:51:11	64.526	46.68	54.524	55.592	0.1162	0.5882	0.5842	0.5564
binary_Bagging_model	2022-09-07 09:51:11	2022-09-07 09:51:11	61.628	38.688	50.218	50.154	0.0026	0.5532	0.5086	0.5168
Mismatch_Bagging_model	2022-09-07 09:51:11	2022-09-07 09:51:12	61.938	45.318	53.17	53.622	0.0736	0.5716	0.5604	0.5508
Z_curve_9bit_Bagging_model	2022-09-07 09:51:12	2022-09-07 09:51:12	59.81	42.448	50.948	51.128	0.023	0.5502	0.5108	0.507
DACC_Bagging_model	2022-09-07 09:51:12	2022-09-07 09:51:14	64.522	47.438	55.14	55.966	0.1226	0.5929	0.5984	0.5974
MMI_Bagging_model	2022-09-07 09:51:14	2022-09-07 09:51:15	66.94	44.566	54.59	55.74	0.1193	0.6008	0.5901	0.5911
DPCP type2_Bagging_model	2022-09-07 09:51:15	2022-09-07 09:51:16	64.966	38.368	51.206	51.664	0.0358	0.5724	0.5354	0.5426
PseDNC_Bagging_model	2022-09-07 09:51:16	2022-09-07 09:51:17	64.814	48.652	55.826	56.722	0.1374	0.5987	0.6036	0.5882
Subsequence_Bagging_model	2022-09-07 09:51:17	2022-09-07 09:51:20	64.98	43.206	53.268	54.082	0.0852	0.5845	0.5647	0.5573
