Target2,PSEKNC1,PSEKNC2,PSEKNC3,PSEKNC4,PSEKNC5,PSEKNC6,PSEKNC7,PSEKNC8,PSEKNC9,PSEKNC10,PSEKNC11,PSEKNC12,PSEKNC13,PSEKNC14,PSEKNC15,PSEKNC16,PSEKNC17,PSEKNC18,PSEKNC19,PSEKNC20,PSEKNC21,PSEKNC22,PSEKNC23,PSEKNC24,PSEKNC25,PSEKNC26,PSEKNC27,PSEKNC28,PSEKNC29,PSEKNC30,PSEKNC31,PSEKNC32,PSEKNC33,PSEKNC34,PSEKNC35,PSEKNC36,PSEKNC37,PSEKNC38,PSEKNC39,PSEKNC40,PSEKNC41,PSEKNC42,PSEKNC43,PSEKNC44,PSEKNC45,PSEKNC46,PSEKNC47,PSEKNC48,PSEKNC49,PSEKNC50,PSEKNC51,PSEKNC52,PSEKNC53,PSEKNC54,PSEKNC55,PSEKNC56,PSEKNC57,PSEKNC58,PSEKNC59,PSEKNC60,PSEKNC61,PSEKNC62,PSEKNC63,PSEKNC64,PSEKNC65,PSEKNC66
0,0,0.013704723,0.013704723,0,0,0,0.027409446,0,0,0.027409446,0.027409446,0,0.013704723,0,0,0,0,0,0.027409446,0,0.013704723,0.013704723,0.013704723,0.013704723,0.027409446,0.027409446,0.041114169,0,0,0.013704723,0,0,0.027409446,0,0.013704723,0.013704723,0.013704723,0.041114169,0.027409446,0,0.027409446,0.027409446,0,0,0,0,0,0,0,0.013704723,0,0,0,0,0.013704723,0,0,0,0,0,0,0,0,0,0.238918595,0.226597203
0,0.012525112,0.012525112,0,0.012525112,0.012525112,0.062625562,0.012525112,0,0,0,0.012525112,0,0,0,0,0,0,0.025050225,0.012525112,0,0.012525112,0.025050225,0.050100449,0,0.037575337,0.012525112,0.025050225,0,0,0,0,0,0.025050225,0.050100449,0,0,0.012525112,0,0.012525112,0,0.037575337,0.012525112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.225069713,0.286450907
0,0,0,0.012884157,0,0,0.012884157,0.012884157,0.012884157,0.012884157,0,0,0,0,0,0,0,0,0.012884157,0,0,0.012884157,0.038652471,0.025768314,0,0,0.025768314,0.025768314,0.025768314,0,0.025768314,0,0,0.012884157,0.012884157,0,0,0,0.012884157,0.025768314,0.012884157,0.012884157,0.025768314,0.012884157,0,0.012884157,0,0.025768314,0,0,0.012884157,0,0,0,0.012884157,0.012884157,0,0,0,0.025768314,0.012884157,0,0,0,0,0.289228151,0.208289727
0,0,0,0,0,0,0.012553574,0.037660723,0.012553574,0,0,0,0,0,0,0,0,0,0.012553574,0,0,0,0.062767871,0.037660723,0,0.037660723,0.037660723,0.037660723,0,0,0,0.012553574,0,0,0.050214297,0,0,0.012553574,0.012553574,0.037660723,0,0.012553574,0.025107148,0.037660723,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.282899273,0.227511333
0,0,0,0,0,0.013845891,0,0.027691782,0,0,0,0,0.013845891,0,0,0,0.013845891,0,0.027691782,0,0.013845891,0.027691782,0.013845891,0.027691782,0,0,0.041537673,0.013845891,0.013845891,0,0,0,0.013845891,0,0,0.013845891,0,0,0.041537673,0,0,0.013845891,0,0.041537673,0.013845891,0.013845891,0.013845891,0.013845891,0,0,0.013845891,0,0,0,0.027691782,0,0.013845891,0,0,0.013845891,0,0,0.027691782,0,0.013845891,0.283271467,0.176738786
0,0,0,0.014927464,0,0,0,0.014927464,0,0,0.029854929,0,0,0.014927464,0.014927464,0.014927464,0,0.014927464,0,0,0.014927464,0.014927464,0,0,0.014927464,0.029854929,0.014927464,0,0.029854929,0,0,0,0.029854929,0,0.014927464,0,0.029854929,0,0.014927464,0.029854929,0.014927464,0,0,0,0,0,0.014927464,0,0.014927464,0,0,0.014927464,0,0.014927464,0.014927464,0.029854929,0,0.014927464,0,0,0,0,0.029854929,0.014927464,0.044782393,0.22718123,0.190647659
0,0,0,0,0.015587863,0,0.015587863,0,0.015587863,0.015587863,0.015587863,0.015587863,0,0.015587863,0.015587863,0,0,0.015587863,0,0.015587863,0,0,0.015587863,0,0.015587863,0.031175726,0.015587863,0,0,0,0,0.015587863,0.031175726,0,0.015587863,0.031175726,0.015587863,0.015587863,0,0.015587863,0.015587863,0,0.015587863,0.015587863,0,0,0.015587863,0.015587863,0,0,0,0.015587863,0,0.015587863,0,0.031175726,0,0.015587863,0,0,0.031175726,0,0.015587863,0.015587863,0.015587863,0.202167254,0.189906099
0,0.065996009,0.016499002,0.016499002,0.049497007,0,0,0,0.016499002,0.016499002,0,0,0,0.016499002,0.016499002,0.049497007,0,0.016499002,0,0,0.016499002,0,0,0,0,0,0,0,0.016499002,0,0,0.016499002,0,0.065996009,0,0.016499002,0,0.016499002,0,0,0,0.049497007,0.016499002,0.016499002,0,0,0,0.016499002,0,0,0,0,0.016499002,0.016499002,0,0,0,0.016499002,0,0.065996009,0,0,0,0,0,0.160193762,0.196345151
0,0,0,0,0,0,0,0,0.013451629,0.013451629,0,0,0,0.013451629,0,0,0,0,0,0,0,0,0,0.026903257,0,0,0.013451629,0.053806515,0,0.013451629,0.013451629,0,0.013451629,0,0.013451629,0,0.013451629,0,0.026903257,0.026903257,0.013451629,0,0.040354886,0.053806515,0.026903257,0,0.013451629,0.013451629,0,0.013451629,0,0.013451629,0,0,0,0.013451629,0.013451629,0.013451629,0,0.013451629,0,0,0,0.013451629,0.013451629,0.231215427,0.244171054
0,0,0.01565759,0.03131518,0,0.03131518,0,0,0,0,0.03131518,0.01565759,0,0,0.01565759,0,0,0.04697277,0,0.01565759,0.01565759,0.01565759,0.01565759,0,0.03131518,0,0.04697277,0,0,0,0.01565759,0.01565759,0.01565759,0,0,0,0,0,0.04697277,0.03131518,0.01565759,0.01565759,0.01565759,0,0,0,0.01565759,0,0,0,0,0,0,0.03131518,0,0.01565759,0,0,0,0.01565759,0.01565759,0,0,0.01565759,0,0.235780757,0.153573239
0,0.014524425,0,0.014524425,0,0,0.014524425,0,0,0.014524425,0.014524425,0.014524425,0.014524425,0,0.029048851,0,0,0.014524425,0.014524425,0,0,0.014524425,0.014524425,0.043573276,0,0.029048851,0.014524425,0.029048851,0,0.014524425,0,0,0,0,0,0.029048851,0.014524425,0,0.043573276,0,0,0,0.029048851,0,0.014524425,0,0.014524425,0,0.014524425,0,0,0.014524425,0.014524425,0.014524425,0,0.014524425,0.014524425,0,0,0,0,0.014524425,0,0,0,0.197125745,0.236421661
0,0,0.015687087,0.031374174,0.015687087,0,0,0.015687087,0.015687087,0.015687087,0,0,0,0,0.015687087,0,0,0.015687087,0.015687087,0,0,0.015687087,0.015687087,0,0.015687087,0,0.015687087,0.015687087,0,0.015687087,0.031374174,0.015687087,0.015687087,0.031374174,0,0,0,0,0.015687087,0,0.015687087,0,0.015687087,0.015687087,0.015687087,0,0.015687087,0.015687087,0,0.015687087,0,0,0,0.015687087,0.015687087,0.015687087,0.031374174,0.015687087,0,0.015687087,0.015687087,0,0,0.015687087,0,0.203833458,0.184370154
0,0,0,0,0,0,0.014469428,0,0,0,0.028938856,0.014469428,0,0,0.014469428,0,0,0,0.014469428,0,0,0,0,0.043408283,0,0,0,0.057877711,0,0,0.014469428,0,0,0,0,0.043408283,0.014469428,0,0.028938856,0,0.014469428,0.043408283,0.014469428,0.043408283,0.028938856,0,0,0,0.028938856,0,0,0,0,0.014469428,0,0,0,0.014469428,0,0.014469428,0,0,0,0.028938856,0.028938856,0.159879412,0.275812905
0,0,0,0.017047827,0.017047827,0.017047827,0.017047827,0,0,0.034095654,0.017047827,0.034095654,0.034095654,0,0.017047827,0,0.034095654,0.017047827,0.017047827,0.017047827,0,0.034095654,0,0,0,0,0,0,0,0.017047827,0.017047827,0,0,0.017047827,0,0.034095654,0,0,0,0,0.017047827,0.034095654,0,0,0,0.017047827,0,0,0.017047827,0,0.017047827,0.05114348,0.017047827,0,0.017047827,0,0.017047827,0,0,0,0,0.05114348,0,0,0,0.18611641,0.149018347
0,0,0.013681573,0,0,0,0.013681573,0.013681573,0.027363146,0,0.013681573,0,0.013681573,0,0,0.013681573,0,0,0,0,0.013681573,0,0.041044719,0.013681573,0,0.027363146,0.013681573,0.013681573,0,0.027363146,0.013681573,0.013681573,0,0,0.027363146,0.013681573,0,0.013681573,0,0.027363146,0.013681573,0,0.013681573,0,0.013681573,0,0.013681573,0,0.013681573,0.013681573,0.013681573,0.013681573,0,0,0,0,0.013681573,0,0.013681573,0.013681573,0,0.013681573,0,0,0,0.25075678,0.215661877
0,0,0,0,0,0,0,0.02408695,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.060217374,0.036130424,0,0.012043475,0.072260849,0.036130424,0.012043475,0.012043475,0,0,0,0,0.02408695,0,0,0,0.036130424,0.048173899,0.012043475,0.012043475,0.02408695,0.012043475,0,0,0.012043475,0,0,0,0.012043475,0,0,0,0,0.012043475,0,0,0,0,0,0,0,0,0,0.312816051,0.217488431
0,0.01536429,0,0.01536429,0,0.01536429,0.030728581,0.01536429,0,0.01536429,0.01536429,0,0,0,0.01536429,0,0,0,0.01536429,0.01536429,0,0,0,0.01536429,0.046092871,0.01536429,0,0.01536429,0.01536429,0,0.01536429,0.01536429,0.030728581,0.01536429,0.030728581,0,0.01536429,0,0.01536429,0.01536429,0,0,0.01536429,0.030728581,0,0,0,0.01536429,0,0,0,0,0,0.01536429,0.01536429,0,0.01536429,0.030728581,0,0,0,0,0.01536429,0,0.01536429,0.204188705,0.196603971
