Id	StartTime	EndTime	Sn	Sp	Pre	Acc	MCC	F1	AUROC	AUPRC
Z_curve_12bit_AdaBoost_model	9/7/2022 9:52	9/7/2022 9:52	57.114	56.948	56.976	57.026	0.1411	0.5691	0.5915	0.5793
PS3_AdaBoost_model	9/7/2022 9:52	9/7/2022 9:53	51.226	51.968	51.57	51.588	0.032	0.5135	0.5342	0.5398
ANF_AdaBoost_model	9/7/2022 9:53	9/7/2022 9:53	54.836	51.046	52.884	52.946	0.0589	0.5381	0.5349	0.5191
CKSNAP_AdaBoost_model	9/7/2022 9:53	9/7/2022 9:53	62.104	58.016	59.696	60.042	0.2027	0.6065	0.6265	0.6009
Z_curve_144bit_AdaBoost_model	9/7/2022 9:53	9/7/2022 9:53	53.786	55.892	54.936	54.836	0.0973	0.5417	0.5632	0.55
NAC_AdaBoost_model	9/7/2022 9:53	9/7/2022 9:53	55.596	50.766	52.994	53.17	0.0639	0.5419	0.5376	0.5301
NMBroto_AdaBoost_model	9/7/2022 9:53	9/7/2022 9:53	54.706	55.134	54.828	54.91	0.0988	0.5461	0.5559	0.5271
PS2_AdaBoost_model	9/7/2022 9:53	9/7/2022 9:53	53.938	51.818	52.808	52.87	0.0577	0.533	0.5446	0.5469
PS4_AdaBoost_model	9/7/2022 9:53	9/7/2022 9:56	50.768	52.256	51.106	51.512	0.0307	0.5024	0.5322	0.5343
KNN_AdaBoost_model	9/7/2022 9:56	9/7/2022 9:57	51.52	52.122	51.838	51.81	0.0365	0.5161	0.5165	0.5135
NCP_AdaBoost_model	9/7/2022 9:57	9/7/2022 9:57	50.458	50.754	50.566	50.604	0.0121	0.5039	0.5092	0.515
SCPseDNC_AdaBoost_model	9/7/2022 9:57	9/7/2022 9:57	57.712	58.768	58.326	58.232	0.1652	0.5794	0.6101	0.5844
Z_curve_36bit_AdaBoost_model	9/7/2022 9:57	9/7/2022 9:57	55.906	57.864	57.084	56.878	0.1382	0.5635	0.6161	0.595
DBE_AdaBoost_model	9/7/2022 9:57	9/7/2022 9:57	52.266	49.85	50.978	51.056	0.0213	0.5153	0.5056	0.5096
Z_curve_48bit_AdaBoost_model	9/7/2022 9:57	9/7/2022 9:57	59.688	59.212	59.492	59.444	0.1909	0.5933	0.6066	0.5767
DAC_AdaBoost_model	9/7/2022 9:57	9/7/2022 9:57	55.908	58.758	57.49	57.328	0.1472	0.5657	0.5844	0.5552
PseKNC_AdaBoost_model	9/7/2022 9:57	9/7/2022 9:57	58.624	58.162	58.3	58.384	0.1685	0.5837	0.612	0.5988
DCC_AdaBoost_model	9/7/2022 9:57	9/7/2022 9:57	59.69	55.884	57.186	57.782	0.1571	0.5826	0.596	0.5809
Moran_AdaBoost_model	9/7/2022 9:57	9/7/2022 9:57	55.306	55.288	55.246	55.288	0.1063	0.5515	0.5667	0.5591
LPDF_AdaBoost_model	9/7/2022 9:57	9/7/2022 9:57	57.246	48.796	52.82	53.02	0.0606	0.5492	0.5216	0.4994
Geary_AdaBoost_model	9/7/2022 9:57	9/7/2022 9:57	56.362	55.742	55.88	56.044	0.1215	0.5601	0.5911	0.5768
ASDC_AdaBoost_model	9/7/2022 9:57	9/7/2022 9:57	57.716	49.98	53.658	53.85	0.0771	0.5556	0.5481	0.5295
ENAC_AdaBoost_model	9/7/2022 9:57	9/7/2022 9:57	58.63	50.614	54.238	54.612	0.0942	0.5616	0.5611	0.5315
PCPseDNC_AdaBoost_model	9/7/2022 9:57	9/7/2022 9:57	54.242	57.564	55.986	55.898	0.1181	0.5504	0.5843	0.5643
PSTNPss_AdaBoost_model	9/7/2022 9:57	9/7/2022 9:57	86.076	89.55	88.204	87.814	0.7567	0.8706	0.9033	0.8987
DPCP_AdaBoost_model	9/7/2022 9:57	9/7/2022 9:57	55.466	58.616	57.114	57.028	0.1414	0.5611	0.6044	0.5861
Kmer_AdaBoost_model	9/7/2022 9:57	9/7/2022 9:57	59.086	57.866	58.35	58.46	0.1706	0.5852	0.6181	0.606
binary_AdaBoost_model	9/7/2022 9:57	9/7/2022 9:57	49.856	50.452	50.098	50.152	0.003	0.4987	0.509	0.5157
Mismatch_AdaBoost_model	9/7/2022 9:57	9/7/2022 9:57	57.718	52.12	54.73	54.908	0.0989	0.5608	0.5725	0.5467
Z_curve_9bit_AdaBoost_model	9/7/2022 9:57	9/7/2022 9:57	49.098	53.922	51.67	51.51	0.0303	0.5033	0.5142	0.5222
DACC_AdaBoost_model	9/7/2022 9:57	9/7/2022 9:57	59.538	54.83	56.698	57.174	0.1447	0.5794	0.6028	0.5939
MMI_AdaBoost_model	9/7/2022 9:57	9/7/2022 9:58	56.972	58.314	57.528	57.63	0.1535	0.5711	0.6001	0.5809
DPCP type2_AdaBoost_model	9/7/2022 9:58	9/7/2022 9:58	56.508	52.262	54.198	54.382	0.0882	0.5522	0.5767	0.5808
PseDNC_AdaBoost_model	9/7/2022 9:58	9/7/2022 9:58	54.242	57.564	55.986	55.898	0.1181	0.5504	0.5843	0.5643
Subsequence_AdaBoost_model	9/7/2022 9:58	9/7/2022 9:58	55.616	58.616	57.196	57.104	0.1429	0.5624	0.6058	0.5875
