Id	StartTime	EndTime	Sn	Sp	Pre	Acc	MCC	F1	AUROC	AUPRC
Z_curve_12bit_DecisionTree_model	2022-09-06 15:50:03	2022-09-06 15:50:03	54.236	53.326	53.762	53.778	0.0756	0.5398	0.5378	0.6544
PS3_DecisionTree_model	2022-09-06 15:50:03	2022-09-06 15:50:06	49.844	51.81	50.996	50.828	0.0166	0.5026	0.5083	0.6296
ANF_DecisionTree_model	2022-09-06 15:50:06	2022-09-06 15:50:07	52.108	50.606	51.37	51.362	0.0274	0.5166	0.5136	0.6371
CKSNAP_DecisionTree_model	2022-09-06 15:50:07	2022-09-06 15:50:07	54.25	51.056	52.456	52.644	0.0532	0.5322	0.5265	0.648
Z_curve_144bit_DecisionTree_model	2022-09-06 15:50:07	2022-09-06 15:50:07	52.724	54.836	53.766	53.778	0.0758	0.5313	0.5378	0.6506
NAC_DecisionTree_model	2022-09-06 15:50:07	2022-09-06 15:50:07	57.41	49.244	53.096	53.32	0.0669	0.5512	0.5328	0.6311
NMBroto_DecisionTree_model	2022-09-06 15:50:07	2022-09-06 15:50:08	52.878	51.664	52.186	52.268	0.0456	0.5245	0.5227	0.6431
PS2_DecisionTree_model	2022-09-06 15:50:08	2022-09-06 15:50:08	50.774	51.67	51.276	51.21	0.0245	0.5088	0.5122	0.6333
PS4_DecisionTree_model	2022-09-06 15:50:08	2022-09-06 15:50:45	54.226	51.814	52.94	53.02	0.0604	0.5354	0.5302	0.6503
KNN_DecisionTree_model	2022-09-06 15:50:45	2022-09-06 15:51:21	55.902	50.312	52.96	53.1	0.0624	0.5433	0.5311	0.6546
NCP_DecisionTree_model	2022-09-06 15:51:21	2022-09-06 15:51:22	50.906	51.06	50.892	50.984	0.0197	0.5084	0.5098	0.6317
SCPseDNC_DecisionTree_model	2022-09-06 15:51:22	2022-09-06 15:51:22	54.088	53.316	53.632	53.698	0.0742	0.538	0.537	0.6534
Z_curve_36bit_DecisionTree_model	2022-09-06 15:51:22	2022-09-06 15:51:22	52.87	53.188	53.234	53.024	0.0608	0.5299	0.5303	0.6483
DBE_DecisionTree_model	2022-09-06 15:51:22	2022-09-06 15:51:22	48.174	49.084	48.576	48.636	-0.0275	0.4831	0.4863	0.6133
Z_curve_48bit_DecisionTree_model	2022-09-06 15:51:22	2022-09-06 15:51:23	57.566	53.164	55.224	55.36	0.1077	0.5627	0.5537	0.67
DAC_DecisionTree_model	2022-09-06 15:51:23	2022-09-06 15:51:23	55.452	56.206	56.266	55.816	0.1175	0.556	0.5583	0.67
PseKNC_DecisionTree_model	2022-09-06 15:51:23	2022-09-06 15:51:24	54.846	52.73	53.762	53.776	0.0761	0.5418	0.5379	0.656
DCC_DecisionTree_model	2022-09-06 15:51:24	2022-09-06 15:51:25	55.306	50.156	52.498	52.72	0.0551	0.5375	0.5273	0.6508
Moran_DecisionTree_model	2022-09-06 15:51:25	2022-09-06 15:51:26	55.288	54.536	54.816	54.906	0.0984	0.5502	0.5491	0.6623
LPDF_DecisionTree_model	2022-09-06 15:51:26	2022-09-06 15:51:26	52.426	47.282	49.824	49.85	-0.0029	0.5107	0.4985	0.6302
Geary_DecisionTree_model	2022-09-06 15:51:26	2022-09-06 15:51:26	54.842	54.078	54.442	54.454	0.0895	0.5454	0.5446	0.6593
ASDC_DecisionTree_model	2022-09-06 15:51:26	2022-09-06 15:51:27	51.356	52.272	51.844	51.808	0.0363	0.5157	0.5181	0.6376
ENAC_DecisionTree_model	2022-09-06 15:51:27	2022-09-06 15:51:27	55.302	46.982	50.796	51.136	0.0235	0.5283	0.5114	0.6423
PCPseDNC_DecisionTree_model	2022-09-06 15:51:27	2022-09-06 15:51:27	51.532	51.98	51.77	51.742	0.0353	0.5151	0.5175	0.6377
PSTNPss_DecisionTree_model	2022-09-06 15:51:27	2022-09-06 15:51:28	67.662	77.93	74.59	72.794	0.4577	0.7082	0.7279	0.7921
DPCP_DecisionTree_model	2022-09-06 15:51:28	2022-09-06 15:51:28	54.994	52.566	53.748	53.776	0.0758	0.5427	0.5378	0.6562
Kmer_DecisionTree_model	2022-09-06 15:51:28	2022-09-06 15:51:29	55.15	53.334	54.158	54.23	0.0853	0.5454	0.5424	0.6587
binary_DecisionTree_model	2022-09-06 15:51:29	2022-09-06 15:51:29	50.908	50.908	50.86	50.904	0.0182	0.5087	0.509	0.6316
Mismatch_DecisionTree_model	2022-09-06 15:51:29	2022-09-06 15:51:29	53.624	52.262	53.006	52.942	0.0589	0.5328	0.5294	0.6491
Z_curve_9bit_DecisionTree_model	2022-09-06 15:51:29	2022-09-06 15:51:29	49.846	53.924	51.882	51.884	0.0377	0.5081	0.5188	0.634
DACC_DecisionTree_model	2022-09-06 15:51:29	2022-09-06 15:51:31	55.606	57.254	56.668	56.42	0.1292	0.5602	0.5643	0.6724
MMI_DecisionTree_model	2022-09-06 15:51:31	2022-09-06 15:51:32	51.07	54.396	53.056	52.72	0.0552	0.5189	0.5273	0.643
DPCP type2_DecisionTree_model	2022-09-06 15:51:32	2022-09-06 15:51:32	54.38	50.602	52.214	52.494	0.05	0.5323	0.5249	0.647
PseDNC_DecisionTree_model	2022-09-06 15:51:32	2022-09-06 15:51:32	51.382	51.974	51.652	51.664	0.0336	0.5139	0.5168	0.6368
Subsequence_DecisionTree_model	2022-09-06 15:51:32	2022-09-06 15:51:36	55.148	52.262	53.658	53.698	0.0742	0.5431	0.537	0.6562
