Id	StartTime	EndTime	Sn	Sp	Pre	Acc	MCC	F1	AUROC	AUPRC
Z_curve_12bit_LightGBM_model	2022-09-06 15:52:14	2022-09-06 15:52:15	58.472	52.718	55.27	55.59	0.1129	0.5662	0.5923	0.5953
PS3_LightGBM_model	2022-09-06 15:52:15	2022-09-06 15:52:17	53.334	54.378	54.006	53.85	0.0777	0.5344	0.5693	0.5499
ANF_LightGBM_model	2022-09-06 15:52:17	2022-09-06 15:52:17	52.272	51.068	51.66	51.666	0.0334	0.5195	0.5396	0.5456
CKSNAP_LightGBM_model	2022-09-06 15:52:17	2022-09-06 15:52:18	59.544	60.872	60.132	60.198	0.2048	0.5971	0.6454	0.6383
Z_curve_144bit_LightGBM_model	2022-09-06 15:52:18	2022-09-06 15:52:18	58.926	58.46	58.554	58.688	0.1748	0.5858	0.6233	0.6094
NAC_LightGBM_model	2022-09-06 15:52:18	2022-09-06 15:52:18	55.148	52.11	53.584	53.624	0.0728	0.5426	0.5431	0.525
NMBroto_LightGBM_model	2022-09-06 15:52:18	2022-09-06 15:52:19	57.276	58.018	57.702	57.63	0.154	0.5727	0.5973	0.569
PS2_LightGBM_model	2022-09-06 15:52:19	2022-09-06 15:52:20	53.492	49.696	51.484	51.584	0.032	0.5236	0.5398	0.5395
PS4_LightGBM_model	2022-09-06 15:52:20	2022-09-06 15:52:26	62.39	44.406	52.934	53.396	0.069	0.5723	0.5304	0.5184
KNN_LightGBM_model	2022-09-06 15:52:26	2022-09-06 15:53:04	53.034	52.426	52.664	52.72	0.0549	0.5274	0.5184	0.5138
NCP_LightGBM_model	2022-09-06 15:53:04	2022-09-06 15:53:04	51.058	49.246	50.136	50.15	0.0031	0.505	0.5064	0.503
SCPseDNC_LightGBM_model	2022-09-06 15:53:04	2022-09-06 15:53:05	58.482	58.018	58.336	58.234	0.166	0.5823	0.6277	0.6153
Z_curve_36bit_LightGBM_model	2022-09-06 15:53:05	2022-09-06 15:53:05	58.184	58.778	58.54	58.46	0.1709	0.5811	0.63	0.617
DBE_LightGBM_model	2022-09-06 15:53:05	2022-09-06 15:53:06	52.74	51.97	52.314	52.342	0.0473	0.5238	0.5095	0.5053
Z_curve_48bit_LightGBM_model	2022-09-06 15:53:06	2022-09-06 15:53:06	61.056	57.562	58.966	59.29	0.188	0.5974	0.6428	0.6235
DAC_LightGBM_model	2022-09-06 15:53:06	2022-09-06 15:53:07	56.666	54.684	55.638	55.666	0.1149	0.5581	0.5799	0.5701
PseKNC_LightGBM_model	2022-09-06 15:53:07	2022-09-06 15:53:08	60.14	62.998	61.856	61.558	0.232	0.6089	0.6454	0.6298
DCC_LightGBM_model	2022-09-06 15:53:08	2022-09-06 15:53:10	59.686	57.544	58.284	58.61	0.1735	0.5881	0.6143	0.6186
Moran_LightGBM_model	2022-09-06 15:53:10	2022-09-06 15:53:10	55.448	55.288	55.288	55.364	0.1078	0.5523	0.5723	0.5699
LPDF_LightGBM_model	2022-09-06 15:53:10	2022-09-06 15:53:11	56.796	53.018	54.752	54.902	0.0983	0.5573	0.5455	0.5177
Geary_LightGBM_model	2022-09-06 15:53:11	2022-09-06 15:53:11	54.25	56.35	55.102	55.29	0.1065	0.5449	0.5836	0.5835
ASDC_LightGBM_model	2022-09-06 15:53:11	2022-09-06 15:53:12	53.032	52.712	53.034	52.868	0.0577	0.5294	0.5412	0.5516
ENAC_LightGBM_model	2022-09-06 15:53:12	2022-09-06 15:53:13	59.23	55.598	57.156	57.408	0.1493	0.5803	0.6029	0.5961
PCPseDNC_LightGBM_model	2022-09-06 15:53:13	2022-09-06 15:53:13	54.4	58.472	56.752	56.424	0.1293	0.5543	0.6078	0.5995
PSTNPss_LightGBM_model	2022-09-06 15:53:13	2022-09-06 15:53:14	84.4	94.85	90.284	89.624	0.7933	0.8655	0.9021	0.9036
DPCP_LightGBM_model	2022-09-06 15:53:14	2022-09-06 15:53:15	55.158	58.17	56.798	56.646	0.1339	0.5581	0.599	0.6134
Kmer_LightGBM_model	2022-09-06 15:53:15	2022-09-06 15:53:15	60.898	57.568	59.146	59.218	0.1869	0.597	0.6285	0.6258
binary_LightGBM_model	2022-09-06 15:53:15	2022-09-06 15:53:15	51.234	53.022	51.938	52.114	0.0426	0.5146	0.5388	0.5376
Mismatch_LightGBM_model	2022-09-06 15:53:16	2022-09-06 15:53:16	57.426	53.928	55.318	55.666	0.1141	0.5627	0.5792	0.5662
Z_curve_9bit_LightGBM_model	2022-09-06 15:53:16	2022-09-06 15:53:16	47.13	51.964	49.654	49.544	-0.0089	0.4833	0.5066	0.5024
DACC_LightGBM_model	2022-09-06 15:53:16	2022-09-06 15:53:19	60.444	58.762	59.334	59.596	0.1929	0.5977	0.6286	0.6357
MMI_LightGBM_model	2022-09-06 15:53:19	2022-09-06 15:53:19	57.712	58.464	58.154	58.082	0.1619	0.5791	0.6069	0.609
DPCP type2_LightGBM_model	2022-09-06 15:53:19	2022-09-06 15:53:20	54.548	56.946	55.794	55.742	0.1154	0.5507	0.5766	0.5719
PseDNC_LightGBM_model	2022-09-06 15:53:20	2022-09-06 15:53:21	54.4	58.472	56.752	56.424	0.1293	0.5543	0.6078	0.5995
Subsequence_LightGBM_model	2022-09-06 15:53:21	2022-09-06 15:53:24	55.158	58.17	56.798	56.646	0.1339	0.5581	0.599	0.6134
