Id	StartTime	EndTime	Sn	Sp	Pre	Acc	MCC	F1	AUROC	AUPRC
Z_curve_12bit_LR_model	2022-09-07 09:34:44	2022-09-07 09:34:44	62.266	61.94	62.104	62.092	0.245	0.6183	0.661	0.6504
PS3_LR_model	2022-09-07 09:34:44	2022-09-07 09:34:46	56.058	52.43	54.154	54.232	0.0852	0.5499	0.5529	0.5462
ANF_LR_model	2022-09-07 09:34:46	2022-09-07 09:34:47	58.606	47.44	52.776	53.022	0.0609	0.5549	0.5444	0.5347
CKSNAP_LR_model	2022-09-07 09:34:47	2022-09-07 09:34:47	65.592	59.67	61.852	62.618	0.257	0.6331	0.6736	0.6632
Z_curve_144bit_LR_model	2022-09-07 09:34:47	2022-09-07 09:34:47	63.628	55.894	59.046	59.746	0.1978	0.61	0.6536	0.6461
NAC_LR_model	2022-09-07 09:34:47	2022-09-07 09:34:47	54.692	52.412	53.238	53.554	0.0716	0.5379	0.5542	0.549
NMBroto_LR_model	2022-09-07 09:34:47	2022-09-07 09:34:48	62.104	56.65	58.85	59.368	0.1892	0.6026	0.6344	0.617
PS2_LR_model	2022-09-07 09:34:48	2022-09-07 09:34:48	52.13	51.964	51.95	52.04	0.0409	0.5197	0.5466	0.5482
PS4_LR_model	2022-09-07 09:34:48	2022-09-07 09:34:57	56.36	55.148	55.604	55.742	0.1156	0.5579	0.5731	0.5637
KNN_LR_model	2022-09-07 09:34:57	2022-09-07 09:35:36	52.27	55.9	54.296	54.078	0.0819	0.5318	0.5479	0.5386
NCP_LR_model	2022-09-07 09:35:36	2022-09-07 09:35:36	50.61	48.64	49.504	49.622	-0.0076	0.4995	0.5041	0.5133
SCPseDNC_LR_model	2022-09-07 09:35:36	2022-09-07 09:35:37	58.95	51.548	55.292	55.216	0.1076	0.5639	0.5853	0.5667
Z_curve_36bit_LR_model	2022-09-07 09:35:37	2022-09-07 09:35:37	60.15	59.528	59.854	59.826	0.1992	0.5964	0.6514	0.6419
DBE_LR_model	2022-09-07 09:35:37	2022-09-07 09:35:37	51.968	49.244	50.49	50.604	0.0122	0.5112	0.5047	0.5114
Z_curve_48bit_LR_model	2022-09-07 09:35:37	2022-09-07 09:35:37	66.794	57.406	61.216	62.086	0.2463	0.6356	0.6714	0.6595
DAC_LR_model	2022-09-07 09:35:37	2022-09-07 09:35:38	63.146	52.724	57.302	57.934	0.1604	0.5995	0.6231	0.6023
PseKNC_LR_model	2022-09-07 09:35:38	2022-09-07 09:35:38	66.192	55.896	60.182	61.028	0.2247	0.6274	0.6674	0.6542
DCC_LR_model	2022-09-07 09:35:38	2022-09-07 09:35:40	65.272	52.876	57.972	59.066	0.1844	0.6123	0.6267	0.5963
Moran_LR_model	2022-09-07 09:35:40	2022-09-07 09:35:40	66.34	59.07	61.818	62.692	0.2569	0.6375	0.6568	0.6445
LPDF_LR_model	2022-09-07 09:35:40	2022-09-07 09:35:40	64.956	45.624	54.468	55.286	0.108	0.5921	0.5615	0.5374
Geary_LR_model	2022-09-07 09:35:40	2022-09-07 09:35:41	64.37	58.304	60.66	61.33	0.2291	0.6221	0.6521	0.642
ASDC_LR_model	2022-09-07 09:35:41	2022-09-07 09:35:41	54.54	53.316	53.696	53.932	0.0792	0.5399	0.5494	0.5402
ENAC_LR_model	2022-09-07 09:35:41	2022-09-07 09:35:42	49.396	50.916	50.046	50.154	0.003	0.4966	0.5004	0.507
PCPseDNC_LR_model	2022-09-07 09:35:42	2022-09-07 09:35:42	60.908	59.374	60.01	60.128	0.2064	0.6003	0.6554	0.6457
PSTNPss_LR_model	2022-09-07 09:35:42	2022-09-07 09:35:43	55.768	51.978	53.738	53.852	0.0788	0.5438	0.5597	0.5458
DPCP_LR_model	2022-09-07 09:35:43	2022-09-07 09:35:43	61.21	61.338	61.226	61.262	0.2289	0.6082	0.6591	0.6501
Kmer_LR_model	2022-09-07 09:35:43	2022-09-07 09:35:43	66.194	58.162	61.334	62.162	0.2483	0.6329	0.6771	0.6648
binary_LR_model	2022-09-07 09:35:43	2022-09-07 09:35:43	50.76	48.64	49.596	49.698	-0.0061	0.5008	0.5041	0.5133
Mismatch_LR_model	2022-09-07 09:35:43	2022-09-07 09:35:44	61.054	61.336	61.078	61.184	0.2272	0.6071	0.657	0.645
Z_curve_9bit_LR_model	2022-09-07 09:35:44	2022-09-07 09:35:44	53.624	52.72	53.142	53.174	0.0634	0.5334	0.5541	0.5549
DACC_LR_model	2022-09-07 09:35:44	2022-09-07 09:35:46	63.456	52.728	57.28	58.084	0.1639	0.6007	0.6264	0.604
MMI_LR_model	2022-09-07 09:35:46	2022-09-07 09:35:46	58.494	61.486	59.964	59.976	0.2009	0.59	0.6404	0.6389
DPCP type2_LR_model	2022-09-07 09:35:46	2022-09-07 09:35:47	52.118	51.804	52.048	51.962	0.0392	0.5198	0.5387	0.5497
PseDNC_LR_model	2022-09-07 09:35:47	2022-09-07 09:35:47	60.908	59.374	60.01	60.128	0.2064	0.6003	0.6554	0.6457
Subsequence_LR_model	2022-09-07 09:35:47	2022-09-07 09:35:50	60.904	61.638	61.186	61.262	0.2286	0.607	0.657	0.6451
