Id	StartTime	EndTime	Sn	Sp	Pre	Acc	MCC	F1	AUROC	AUPRC
Z_curve_12bit_NaiveBayes_model	2022-09-07 09:47:30	2022-09-07 09:47:30	66.79	51.822	58.306	59.292	0.1915	0.6195	0.6446	0.6381
PS3_NaiveBayes_model	2022-09-07 09:47:30	2022-09-07 09:47:32	50.024	54.098	52.074	52.044	0.0415	0.508	0.5305	0.6276
ANF_NaiveBayes_model	2022-09-07 09:47:32	2022-09-07 09:47:32	69.8	37.926	52.938	53.854	0.0824	0.6014	0.5699	0.5721
CKSNAP_NaiveBayes_model	2022-09-07 09:47:32	2022-09-07 09:47:32	70.258	44.4	55.72	57.33	0.1571	0.6187	0.6098	0.597
Z_curve_144bit_NaiveBayes_model	2022-09-07 09:47:32	2022-09-07 09:47:33	60.738	55.602	57.962	58.156	0.1652	0.5912	0.6153	0.6009
NAC_NaiveBayes_model	2022-09-07 09:47:33	2022-09-07 09:47:33	64.214	41.09	51.916	52.654	0.0588	0.5728	0.5566	0.5438
NMBroto_NaiveBayes_model	2022-09-07 09:47:33	2022-09-07 09:47:33	65.43	52.422	57.772	58.914	0.182	0.6122	0.6326	0.6171
PS2_NaiveBayes_model	2022-09-07 09:47:33	2022-09-07 09:47:33	53.036	51.812	52.296	52.42	0.0487	0.5251	0.5501	0.5577
PS4_NaiveBayes_model	2022-09-07 09:47:33	2022-09-07 09:47:40	50.03	53.492	51.53	51.742	0.035	0.5054	0.5184	0.6331
KNN_NaiveBayes_model	2022-09-07 09:47:40	2022-09-07 09:48:17	48.954	54.988	52.062	51.966	0.0396	0.5036	0.5289	0.5165
NCP_NaiveBayes_model	2022-09-07 09:48:17	2022-09-07 09:48:18	50.456	50.0	50.042	50.226	0.0045	0.5015	0.5094	0.5182
SCPseDNC_NaiveBayes_model	2022-09-07 09:48:18	2022-09-07 09:48:18	70.56	45.926	56.764	58.234	0.1719	0.6272	0.6099	0.5958
Z_curve_36bit_NaiveBayes_model	2022-09-07 09:48:18	2022-09-07 09:48:18	61.048	60.136	60.738	60.578	0.2139	0.6063	0.6491	0.6472
DBE_NaiveBayes_model	2022-09-07 09:48:18	2022-09-07 09:48:18	48.946	48.496	48.632	48.718	-0.0259	0.4861	0.493	0.4965
Z_curve_48bit_NaiveBayes_model	2022-09-07 09:48:18	2022-09-07 09:48:18	72.226	47.286	57.822	59.744	0.2038	0.641	0.643	0.6221
DAC_NaiveBayes_model	2022-09-07 09:48:18	2022-09-07 09:48:19	69.064	54.084	59.94	61.56	0.2374	0.6396	0.6571	0.6354
PseKNC_NaiveBayes_model	2022-09-07 09:48:19	2022-09-07 09:48:19	66.334	56.812	60.534	61.56	0.2348	0.6312	0.6441	0.6333
DCC_NaiveBayes_model	2022-09-07 09:48:19	2022-09-07 09:48:21	68.454	53.168	59.334	60.802	0.2212	0.6337	0.6421	0.6242
Moran_NaiveBayes_model	2022-09-07 09:48:21	2022-09-07 09:48:21	66.802	56.194	60.21	61.482	0.2336	0.6312	0.655	0.636
LPDF_NaiveBayes_model	2022-09-07 09:48:21	2022-09-07 09:48:21	77.354	32.93	53.53	55.138	0.1172	0.6322	0.5869	0.5689
Geary_NaiveBayes_model	2022-09-07 09:48:21	2022-09-07 09:48:22	65.132	57.552	60.464	61.328	0.2293	0.6248	0.6509	0.637
ASDC_NaiveBayes_model	2022-09-07 09:48:22	2022-09-07 09:48:22	67.682	42.908	54.04	55.298	0.1152	0.599	0.5833	0.5609
ENAC_NaiveBayes_model	2022-09-07 09:48:22	2022-09-07 09:48:23	63.456	54.688	58.522	59.066	0.1855	0.6054	0.6212	0.6142
PCPseDNC_NaiveBayes_model	2022-09-07 09:48:23	2022-09-07 09:48:23	64.22	51.82	57.006	58.012	0.1636	0.6026	0.6167	0.5946
PSTNPss_NaiveBayes_model	2022-09-07 09:48:23	2022-09-07 09:48:24	63.452	48.64	55.414	56.038	0.1223	0.5903	0.5826	0.5722
DPCP_NaiveBayes_model	2022-09-07 09:48:24	2022-09-07 09:48:24	64.374	52.43	57.572	58.39	0.1704	0.6063	0.6191	0.5933
Kmer_NaiveBayes_model	2022-09-07 09:48:24	2022-09-07 09:48:24	66.032	57.866	61.098	61.938	0.2412	0.6333	0.6458	0.6316
binary_NaiveBayes_model	2022-09-07 09:48:24	2022-09-07 09:48:24	51.064	51.21	50.918	51.136	0.0227	0.5089	0.512	0.5192
Mismatch_NaiveBayes_model	2022-09-07 09:48:24	2022-09-07 09:48:24	64.36	45.012	53.678	54.69	0.1012	0.5825	0.5784	0.5713
Z_curve_9bit_NaiveBayes_model	2022-09-07 09:48:24	2022-09-07 09:48:25	51.822	58.62	55.664	55.212	0.1049	0.5361	0.5703	0.5598
DACC_NaiveBayes_model	2022-09-07 09:48:25	2022-09-07 09:48:26	69.508	53.624	60.006	61.558	0.2364	0.6423	0.6542	0.6378
MMI_NaiveBayes_model	2022-09-07 09:48:26	2022-09-07 09:48:27	54.118	64.366	60.108	59.216	0.187	0.5653	0.6227	0.6088
DPCP type2_NaiveBayes_model	2022-09-07 09:48:27	2022-09-07 09:48:27	56.054	51.51	53.234	53.78	0.0765	0.5449	0.557	0.5619
PseDNC_NaiveBayes_model	2022-09-07 09:48:27	2022-09-07 09:48:27	64.22	51.82	57.006	58.012	0.1636	0.6026	0.6167	0.5946
Subsequence_NaiveBayes_model	2022-09-07 09:48:27	2022-09-07 09:48:31	64.224	52.128	57.364	58.164	0.1659	0.6044	0.6191	0.5933
