Id	StartTime	EndTime	Sn	Sp	Pre	Acc	MCC	F1	AUROC	AUPRC
Z_curve_12bit_SGD_model	2022-09-07 09:45:52	2022-09-07 09:45:52	64.408	52.876	59.374	58.612	0.194	0.5963	0.6604	0.6512
PS3_SGD_model	2022-09-07 09:45:52	2022-09-07 09:45:54	55.3	51.676	53.47	53.476	0.07	0.5425	0.553	0.5559
ANF_SGD_model	2022-09-07 09:45:54	2022-09-07 09:45:54	51.68	53.758	54.71	52.718	0.066	0.4945	0.5399	0.5389
CKSNAP_SGD_model	2022-09-07 09:45:54	2022-09-07 09:45:55	62.982	61.166	62.706	62.088	0.2463	0.622	0.6731	0.6637
Z_curve_144bit_SGD_model	2022-09-07 09:45:55	2022-09-07 09:45:55	61.198	54.112	57.834	57.63	0.1625	0.5841	0.6365	0.6289
NAC_SGD_model	2022-09-07 09:45:55	2022-09-07 09:45:55	51.692	52.08	46.082	51.814	0.0593	0.4136	0.5558	0.5508
NMBroto_SGD_model	2022-09-07 09:45:55	2022-09-07 09:45:55	66.694	45.944	57.428	56.268	0.1628	0.5747	0.629	0.6059
PS2_SGD_model	2022-09-07 09:45:55	2022-09-07 09:45:57	52.736	51.36	51.942	52.04	0.0411	0.5226	0.5348	0.5389
PS4_SGD_model	2022-09-07 09:45:57	2022-09-07 09:46:04	58.012	54.686	56.072	56.346	0.1274	0.5697	0.566	0.5582
KNN_SGD_model	2022-09-07 09:46:04	2022-09-07 09:46:41	40.912	62.262	33.82	51.584	0.063	0.3118	0.5591	0.547
NCP_SGD_model	2022-09-07 09:46:41	2022-09-07 09:46:41	38.488	59.184	47.99	48.866	-0.0257	0.4175	0.4839	0.493
SCPseDNC_SGD_model	2022-09-07 09:46:41	2022-09-07 09:46:42	64.09	37.744	57.188	51.056	0.0373	0.4711	0.5891	0.5712
Z_curve_36bit_SGD_model	2022-09-07 09:46:42	2022-09-07 09:46:42	66.308	49.698	58.174	58.012	0.1843	0.5906	0.6484	0.6409
DBE_SGD_model	2022-09-07 09:46:42	2022-09-07 09:46:42	43.924	53.232	48.864	48.64	-0.0392	0.4079	0.4814	0.4884
Z_curve_48bit_SGD_model	2022-09-07 09:46:42	2022-09-07 09:46:43	57.704	66.62	63.938	62.162	0.2473	0.6028	0.6688	0.658
DAC_SGD_model	2022-09-07 09:46:43	2022-09-07 09:46:43	38.082	71.94	55.738	54.984	0.1059	0.4081	0.5652	0.5469
PseKNC_SGD_model	2022-09-07 09:46:43	2022-09-07 09:46:44	61.772	58.178	63.09	59.972	0.224	0.5927	0.6782	0.6722
DCC_SGD_model	2022-09-07 09:46:44	2022-09-07 09:46:45	52.936	62.414	56.862	57.63	0.1588	0.5107	0.629	0.6048
Moran_SGD_model	2022-09-07 09:46:45	2022-09-07 09:46:46	64.674	54.05	59.696	59.364	0.2023	0.6079	0.648	0.6301
LPDF_SGD_model	2022-09-07 09:46:46	2022-09-07 09:46:46	20.116	82.024	53.922	51.056	0.0287	0.2708	0.5576	0.5314
Geary_SGD_model	2022-09-07 09:46:46	2022-09-07 09:46:46	47.878	63.414	35.07	55.52	0.138	0.3957	0.6556	0.6444
ASDC_SGD_model	2022-09-07 09:46:46	2022-09-07 09:46:47	34.518	68.782	51.546	51.592	0.035	0.3278	0.5432	0.5295
ENAC_SGD_model	2022-09-07 09:46:47	2022-09-07 09:46:47	45.842	51.512	47.992	48.64	-0.0436	0.4355	0.5091	0.5204
PCPseDNC_SGD_model	2022-09-07 09:46:47	2022-09-07 09:46:47	48.784	66.782	64.37	57.784	0.1878	0.498	0.6685	0.6616
PSTNPss_SGD_model	2022-09-07 09:46:47	2022-09-07 09:46:48	53.034	47.672	30.25	50.378	0.0115	0.3821	0.5583	0.5461
DPCP_SGD_model	2022-09-07 09:46:48	2022-09-07 09:46:48	63.734	57.512	60.362	60.66	0.228	0.605	0.6538	0.6443
Kmer_SGD_model	2022-09-07 09:46:48	2022-09-07 09:46:48	54.774	62.684	66.58	58.758	0.2124	0.5213	0.6768	0.667
binary_SGD_model	2022-09-07 09:46:48	2022-09-07 09:46:49	62.058	35.93	49.128	49.016	-0.0178	0.5428	0.4903	0.505
Mismatch_SGD_model	2022-09-07 09:46:49	2022-09-07 09:46:49	70.194	37.36	57.644	53.7	0.1248	0.5534	0.5678	0.7004
Z_curve_9bit_SGD_model	2022-09-07 09:46:49	2022-09-07 09:46:49	56.128	48.594	53.438	52.27	0.0508	0.4994	0.5521	0.5544
DACC_SGD_model	2022-09-07 09:46:49	2022-09-07 09:46:51	44.73	64.03	57.878	54.376	0.1009	0.4649	0.5828	0.5692
MMI_SGD_model	2022-09-07 09:46:51	2022-09-07 09:46:51	71.464	37.884	54.058	54.68	0.1141	0.5993	0.6035	0.5949
DPCP type2_SGD_model	2022-09-07 09:46:51	2022-09-07 09:46:52	53.074	48.316	40.356	50.68	0.0327	0.392	0.5192	0.6352
PseDNC_SGD_model	2022-09-07 09:46:52	2022-09-07 09:46:52	61.292	54.446	61.292	57.93	0.1957	0.5612	0.6675	0.6588
Subsequence_SGD_model	2022-09-07 09:46:52	2022-09-07 09:46:56	43.45	64.892	59.356	54.232	0.0997	0.4417	0.5946	0.5859
