Id	StartTime	EndTime	Sn	Sp	Pre	Acc	MCC	F1	AUROC	AUPRC
Z_curve_12bit_SVM_model	2022-09-06 15:53:54	2022-09-06 15:53:55	71.328	49.096	58.69	60.198	0.2167	0.6393	0.6586	0.6454
PS3_SVM_model	2022-09-06 15:53:55	2022-09-06 15:55:07	59.546	40.152	30.0	50.0	-0.0124	0.399	0.4436	0.5044
ANF_SVM_model	2022-09-06 15:55:07	2022-09-06 15:55:08	55.928	38.152	43.378	46.974	-0.0705	0.4555	0.4592	0.4703
CKSNAP_SVM_model	2022-09-06 15:55:08	2022-09-06 15:55:10	42.88	51.366	34.94	47.274	-0.064	0.3053	0.3801	0.4319
Z_curve_144bit_SVM_model	2022-09-06 15:55:10	2022-09-06 15:55:14	60.0	40.0	30.076	50.152	0.0	0.4007	0.3739	0.4706
NAC_SVM_model	2022-09-06 15:55:14	2022-09-06 15:55:14	72.312	24.184	47.738	48.258	-0.0205	0.5636	0.4788	0.5163
NMBroto_SVM_model	2022-09-06 15:55:14	2022-09-06 15:55:15	63.468	56.956	59.522	60.198	0.2068	0.612	0.6369	0.6206
PS2_SVM_model	2022-09-06 15:55:15	2022-09-06 15:55:32	76.218	17.798	46.75	47.052	-0.0757	0.5638	0.4453	0.4919
PS4_SVM_model	2022-09-06 15:55:32	2022-09-06 16:00:21	60.0	40.0	30.076	50.152	0.0	0.4007	0.4413	0.5066
KNN_SVM_model	2022-09-06 16:00:21	2022-09-06 16:01:00	57.124	42.31	44.67	49.846	-0.0	0.4411	0.4714	0.4772
NCP_SVM_model	2022-09-06 16:01:00	2022-09-06 16:01:03	69.172	29.426	49.372	49.32	-0.0154	0.567	0.499	0.5569
SCPseDNC_SVM_model	2022-09-06 16:01:03	2022-09-06 16:01:04	60.0	40.0	30.076	50.152	0.0	0.4007	0.4471	0.5081
Z_curve_36bit_SVM_model	2022-09-06 16:01:04	2022-09-06 16:01:05	56.666	40.758	29.358	48.864	-0.0425	0.3866	0.3779	0.3824
DBE_SVM_model	2022-09-06 16:01:05	2022-09-06 16:01:10	61.052	36.42	49.0	48.718	-0.0267	0.5417	0.4832	0.4937
Z_curve_48bit_SVM_model	2022-09-06 16:01:10	2022-09-06 16:01:11	43.788	52.122	26.57	48.106	-0.045	0.3152	0.3333	0.4094
DAC_SVM_model	2022-09-06 16:01:11	2022-09-06 16:01:12	66.622	47.886	56.046	57.256	0.1483	0.6084	0.6111	0.5863
PseKNC_SVM_model	2022-09-06 16:01:12	2022-09-06 16:01:14	60.0	40.0	30.076	50.152	0.0	0.4007	0.3766	0.4708
DCC_SVM_model	2022-09-06 16:01:14	2022-09-06 16:01:16	46.06	43.858	34.822	45.09	-0.1341	0.3515	0.395	0.4265
Moran_SVM_model	2022-09-06 16:01:16	2022-09-06 16:01:17	66.044	58.16	61.248	62.084	0.2456	0.6324	0.6573	0.6438
LPDF_SVM_model	2022-09-06 16:01:17	2022-09-06 16:01:18	70.85	23.784	46.306	47.278	-0.0557	0.5361	0.4812	0.5226
Geary_SVM_model	2022-09-06 16:01:18	2022-09-06 16:01:19	65.132	57.246	60.326	61.176	0.2269	0.6235	0.6529	0.6436
ASDC_SVM_model	2022-09-06 16:01:19	2022-09-06 16:01:20	57.274	41.214	39.652	49.394	-0.0245	0.3931	0.4639	0.4327
ENAC_SVM_model	2022-09-06 16:01:20	2022-09-06 16:01:24	67.05	29.474	48.134	48.256	-0.0362	0.5485	0.4842	0.5079
PCPseDNC_SVM_model	2022-09-06 16:01:24	2022-09-06 16:01:25	51.364	42.576	27.97	47.122	-0.0675	0.3605	0.3748	0.454
PSTNPss_SVM_model	2022-09-06 16:01:25	2022-09-06 16:01:27	60.0	40.0	30.076	50.152	0.0	0.4007	0.4549	0.513
DPCP_SVM_model	2022-09-06 16:01:27	2022-09-06 16:01:28	61.814	60.276	60.886	61.036	0.2244	0.6097	0.657	0.6505
Kmer_SVM_model	2022-09-06 16:01:28	2022-09-06 16:01:30	60.0	40.0	30.076	50.152	0.0	0.4007	0.3708	0.4674
binary_SVM_model	2022-09-06 16:01:30	2022-09-06 16:01:34	72.806	27.01	49.918	49.924	-0.0012	0.5823	0.5008	0.562
Mismatch_SVM_model	2022-09-06 16:01:34	2022-09-06 16:01:35	60.29	50.75	55.35	55.508	0.1115	0.5744	0.5719	0.5711
Z_curve_9bit_SVM_model	2022-09-06 16:01:35	2022-09-06 16:01:36	61.284	28.986	45.718	45.16	-0.0925	0.52	0.4436	0.4618
DACC_SVM_model	2022-09-06 16:01:36	2022-09-06 16:01:38	66.014	49.092	56.436	57.554	0.154	0.6079	0.6195	0.5986
MMI_SVM_model	2022-09-06 16:01:38	2022-09-06 16:01:39	49.876	60.426	55.594	55.138	0.1038	0.5238	0.5798	0.5879
DPCP type2_SVM_model	2022-09-06 16:01:39	2022-09-06 16:01:44	68.434	31.376	49.866	49.924	0.0032	0.5657	0.504	0.5051
PseDNC_SVM_model	2022-09-06 16:01:44	2022-09-06 16:01:45	51.364	42.576	27.97	47.122	-0.0675	0.3605	0.3748	0.454
Subsequence_SVM_model	2022-09-06 16:01:45	2022-09-06 16:01:49	59.552	57.556	58.218	58.538	0.1735	0.5836	0.6241	0.6045
